Module,ClassName,Target,Severity,ProblemId,Description,Remediation
Az.CosmosDB,Microsoft.Azure.Commands.CosmosDB.GetAzCosmosDBMongoDBCollectionPerPartitionThroughput,Get-AzCosmosDBMongoDBCollectionPerPartitionThroughput,1,8410,Parameter PhysicalPartitionIds of cmdlet Get-AzCosmosDBMongoDBCollectionPerPartitionThroughput does not follow the enforced naming convention of using a singular noun for a parameter name.,Consider using a singular noun for the parameter name.
Az.CosmosDB,Microsoft.Azure.Commands.CosmosDB.GetAzCosmosDBMongoDBCollectionPerPartitionThroughput,Get-AzCosmosDBMongoDBCollectionPerPartitionThroughput,1,8410,Parameter AllPartitions of cmdlet Get-AzCosmosDBMongoDBCollectionPerPartitionThroughput does not follow the enforced naming convention of using a singular noun for a parameter name.,Consider using a singular noun for the parameter name.
Az.CosmosDB,Microsoft.Azure.Commands.CosmosDB.GetAzCosmosDBMongoDBDatabasePerPartitionThroughput,Get-AzCosmosDBMongoDBDatabasePerPartitionThroughput,1,8410,Parameter PhysicalPartitionIds of cmdlet Get-AzCosmosDBMongoDBDatabasePerPartitionThroughput does not follow the enforced naming convention of using a singular noun for a parameter name.,Consider using a singular noun for the parameter name.
Az.CosmosDB,Microsoft.Azure.Commands.CosmosDB.GetAzCosmosDBMongoDBDatabasePerPartitionThroughput,Get-AzCosmosDBMongoDBDatabasePerPartitionThroughput,1,8410,Parameter AllPartitions of cmdlet Get-AzCosmosDBMongoDBDatabasePerPartitionThroughput does not follow the enforced naming convention of using a singular noun for a parameter name.,Consider using a singular noun for the parameter name.
Az.CosmosDB,Microsoft.Azure.Commands.CosmosDB.GetAzCosmosDBSqlContainerPerPartitionThroughput,Get-AzCosmosDBSqlContainerPerPartitionThroughput,1,8410,Parameter PhysicalPartitionIds of cmdlet Get-AzCosmosDBSqlContainerPerPartitionThroughput does not follow the enforced naming convention of using a singular noun for a parameter name.,Consider using a singular noun for the parameter name.
Az.CosmosDB,Microsoft.Azure.Commands.CosmosDB.GetAzCosmosDBSqlContainerPerPartitionThroughput,Get-AzCosmosDBSqlContainerPerPartitionThroughput,1,8410,Parameter AllPartitions of cmdlet Get-AzCosmosDBSqlContainerPerPartitionThroughput does not follow the enforced naming convention of using a singular noun for a parameter name.,Consider using a singular noun for the parameter name.
Az.CosmosDB,Microsoft.Azure.Commands.CosmosDB.GetAzCosmosDBSqlDatabasePerPartitionThroughput,Get-AzCosmosDBSqlDatabasePerPartitionThroughput,1,8410,Parameter PhysicalPartitionIds of cmdlet Get-AzCosmosDBSqlDatabasePerPartitionThroughput does not follow the enforced naming convention of using a singular noun for a parameter name.,Consider using a singular noun for the parameter name.
Az.CosmosDB,Microsoft.Azure.Commands.CosmosDB.GetAzCosmosDBSqlDatabasePerPartitionThroughput,Get-AzCosmosDBSqlDatabasePerPartitionThroughput,1,8410,Parameter AllPartitions of cmdlet Get-AzCosmosDBSqlDatabasePerPartitionThroughput does not follow the enforced naming convention of using a singular noun for a parameter name.,Consider using a singular noun for the parameter name.
Az.CosmosDB,Microsoft.Azure.Commands.CosmosDB.NewAzCosmosDBAccount,New-AzCosmosDBAccount,1,8410,Parameter EnableMaterializedViews of cmdlet New-AzCosmosDBAccount does not follow the enforced naming convention of using a singular noun for a parameter name.,Consider using a singular noun for the parameter name.
Az.CosmosDB,Microsoft.Azure.Commands.CosmosDB.UpdateAzCosmosDBAccount,Update-AzCosmosDBAccount,1,8410,Parameter EnableMaterializedViews of cmdlet Update-AzCosmosDBAccount does not follow the enforced naming convention of using a singular noun for a parameter name.,Consider using a singular noun for the parameter name.
