PS C:\Code\azure-powershell-pr\tools\miyanni\powershell> Get-AzProviderFeature -ProviderNamespace Microsoft.Network -ListAvailable

FeatureName                                                    ProviderName      RegistrationState
-----------                                                    ------------      -----------------
AllowAcceleratedNetworkingFeature                              Microsoft.Network NotRegistered
AllowAcceleratedNetworkingForLinux                             Microsoft.Network NotRegistered
AllowAccessRuleExtendedProperties                              Microsoft.Network NotRegistered
AllowAllocateAsyncValidation                                   Microsoft.Network NotRegistered
AllowAllocateOptimizations                                     Microsoft.Network NotRegistered
AllowAsgsOnVmScaleSet                                          Microsoft.Network NotRegistered
AllowAzureFirewall                                             Microsoft.Network NotRegistered
AllowBaremetalServers                                          Microsoft.Network NotRegistered
AllowBastionHost                                               Microsoft.Network NotRegistered
AllowBastionHostPrivatePreview                                 Microsoft.Network NotRegistered
AllowBringYourOwnPublicIpAddress                               Microsoft.Network NotRegistered
AllowClassicCrossSubscriptionPeering                           Microsoft.Network NotRegistered
AllowCoExistenceAnyOrder                                       Microsoft.Network NotRegistered
AllowCortexGlobalVnetPeering                                   Microsoft.Network NotRegistered
AllowCortexSecurity                                            Microsoft.Network NotRegistered
AllowDdosProtectionPlan                                        Microsoft.Network NotRegistered
AllowDestinationServiceEndpoints                               Microsoft.Network NotRegistered
AllowDisableBgpRouteProgagation                                Microsoft.Network NotRegistered
AllowDSeriesForBrooklyn                                        Microsoft.Network NotRegistered
allowERArmProviderPortal                                       microsoft.network NotRegistered
AllowExRCrossRegionResourceValidation                          Microsoft.Network NotRegistered
AllowFpgaEnabledClustersFeature                                Microsoft.Network NotRegistered
AllowFrontdoor                                                 Microsoft.Network NotRegistered
AllowGlobalCrpHttpClient                                       Microsoft.Network NotRegistered
AllowGlobalPeeringTransit                                      Microsoft.Network NotRegistered
AllowGlobalVnetPeering                                         Microsoft.Network NotRegistered
AllowGRPeerConnection                                          Microsoft.Network NotRegistered
AllowHidingCrossSubscriptionResources                          Microsoft.Network NotRegistered
AllowIntendedPolicies                                          Microsoft.Network NotRegistered
AllowIntentedPolicies                                          Microsoft.Network NotRegistered
AllowInternalDelegations                                       Microsoft.Network NotRegistered
AllowIPv6CAOnStandardLB                                        Microsoft.Network NotRegistered
AllowIPv6VirtualNetwork                                        Microsoft.Network NotRegistered
AllowLoadBalancingOnSecondaryIpConfigs                         Microsoft.Network NotRegistered
AllowMacPreservation                                           Microsoft.Network NotRegistered
AllowMultiNicOnVMScaleSet                                      Microsoft.Network NotRegistered
AllowMultipleAddressPrefixesOnSubnet                           Microsoft.Network NotRegistered
AllowMultipleIpConfigurationsPerNic                            Microsoft.Network NotRegistered
AllowMutipleAddressPrefixesOnSubnet                            Microsoft.Network NotRegistered
AllowNetwatcherAzureReachabilityReport                         Microsoft.Network NotRegistered
AllowNetworkIntentPolicies                                     Microsoft.Network NotRegistered
AllowNetworkWatcher                                            Microsoft.Network NotRegistered
AllowNetworkWatcherAzureReachabilityReport                     Microsoft.Network NotRegistered
AllowNetworkWatcherConnectivityCheck                           Microsoft.Network NotRegistered
