"AssemblyName","AssemblyVersion","ReferencingAssembly","ReferencingAssemblyVersion","Directory"
"Microsoft.Azure.Commands.Management.Storage","1.0.4.3","Microsoft.Azure.Commands.Compute","1.2.2.3","C:\td\azure-powershell\src\Stack\Debug\ResourceManager\AzureResourceManager\AzureRM.Compute"
"Microsoft.Azure.Commands.Network","1.0.4.3","Microsoft.Azure.Commands.Compute","1.2.2.3","C:\td\azure-powershell\src\Stack\Debug\ResourceManager\AzureResourceManager\AzureRM.Compute"
"Microsoft.Azure.Commands.ResourceManager.Common","4.0.0.0","Microsoft.Azure.Commands.Compute","1.2.2.3","C:\td\azure-powershell\src\Stack\Debug\ResourceManager\AzureResourceManager\AzureRM.Compute"
"Microsoft.Azure.Commands.ResourceManager.Common","4.0.0.0","Microsoft.Azure.Commands.Management.Storage","1.0.4.3","C:\td\azure-powershell\src\Stack\Debug\ResourceManager\AzureResourceManager\AzureRM.Compute"
"Microsoft.Azure.Commands.ResourceManager.Common","4.0.0.0","Microsoft.Azure.Commands.Network","1.0.4.3","C:\td\azure-powershell\src\Stack\Debug\ResourceManager\AzureResourceManager\AzureRM.Compute"
"Microsoft.Azure.Common","2.0.0.0","Microsoft.Azure.Commands.Common.Authentication.Abstractions","1.0.0.0","C:\td\azure-powershell\src\Stack\Debug\ResourceManager\AzureResourceManager\AzureRM.Compute"
"Microsoft.Azure.Common","2.0.0.0","Microsoft.Azure.Commands.Compute","1.2.2.3","C:\td\azure-powershell\src\Stack\Debug\ResourceManager\AzureResourceManager\AzureRM.Compute"
"Microsoft.Azure.Common","2.0.0.0","Microsoft.Azure.Commands.Management.Storage","1.0.4.3","C:\td\azure-powershell\src\Stack\Debug\ResourceManager\AzureResourceManager\AzureRM.Compute"
"Microsoft.Rest.ClientRuntime.Azure","3.0.0.0","Microsoft.Azure.Commands.Compute","1.2.2.3","C:\td\azure-powershell\src\Stack\Debug\ResourceManager\AzureResourceManager\AzureRM.Compute"
"Microsoft.Rest.ClientRuntime.Azure","3.0.0.0","Microsoft.Azure.Commands.Network","1.0.4.3","C:\td\azure-powershell\src\Stack\Debug\ResourceManager\AzureResourceManager\AzureRM.Compute"
"Microsoft.Rest.ClientRuntime.Azure","3.0.0.0","Microsoft.Azure.Commands.ResourceManager.Common","4.0.0.0","C:\td\azure-powershell\src\Stack\Debug\ResourceManager\AzureResourceManager\AzureRM.Compute"
