"Directory","AssemblyName","Expected Version","Actual Version","Parent Assembly","Severity","ProblemId","Description","Remediation"
"src\Package\Debug\ResourceManager\AzureResourceManager\AzureRM.Batch","Microsoft.Data.OData","5.6.2.0","5.6.4.0","Microsoft.Azure.Batch","1","1010","Assembly Microsoft.Data.OData version 5.6.2.0 referenced from Microsoft.Azure.Batch.dll does not match assembly version on disk: 5.6.4.0","Update any references to version 5.6.2.0 of assembly Microsoft.Data.OData"
"src\Package\Debug\ResourceManager\AzureResourceManager\AzureRM.Batch","Microsoft.WindowsAzure.Storage","4.3.0.0","6.1.0.0","Microsoft.Azure.Batch","1","1010","Assembly Microsoft.WindowsAzure.Storage version 4.3.0.0 referenced from Microsoft.Azure.Batch.dll does not match assembly version on disk: 6.1.0.0","Update any references to version 4.3.0.0 of assembly Microsoft.WindowsAzure.Storage"
"src\Package\Debug\ResourceManager\AzureResourceManager\AzureRM.RedisCache","Microsoft.WindowsAzure.Storage","6.0.0.0","6.1.0.0","Microsoft.Azure.Insights","1","1010","Assembly Microsoft.WindowsAzure.Storage version 6.0.0.0 referenced from Microsoft.Azure.Insights.dll does not match assembly version on disk: 6.1.0.0","Update any references to version 6.0.0.0 of assembly Microsoft.WindowsAzure.Storage"
"src\Package\Debug\ServiceManagement\Azure\HDInsight","Microsoft.WindowsAzure.Storage","3.0.3.0","6.0.0.0","Microsoft.Hadoop.Client","1","1010","Assembly Microsoft.WindowsAzure.Storage version 3.0.3.0 referenced from Microsoft.Hadoop.Client.dll does not match assembly version on disk: 6.0.0.0","Update any references to version 3.0.3.0 of assembly Microsoft.WindowsAzure.Storage"
"src\Package\Debug\Storage\Azure.Storage","Newtonsoft.Json","6.0.0.0","10.0.0.0","Hyak.Common","1","1010","Assembly Newtonsoft.Json version 6.0.0.0 referenced from Hyak.Common.dll does not match assembly version on disk: 10.0.0.0","Update any references to version 6.0.0.0 of assembly Newtonsoft.Json"
"src\Package\Debug\Storage\Azure.Storage","Newtonsoft.Json","6.0.0.0","10.0.0.0","Microsoft.Azure.Commands.Common.Authentication.Abstractions","1","1010","Assembly Newtonsoft.Json version 6.0.0.0 referenced from Microsoft.Azure.Commands.Common.Authentication.Abstractions.dll does not match assembly version on disk: 10.0.0.0","Update any references to version 6.0.0.0 of assembly Newtonsoft.Json"
"src\Package\Debug\Storage\Azure.Storage","Newtonsoft.Json","6.0.0.0","10.0.0.0","Microsoft.Rest.ClientRuntime.Azure","1","1010","Assembly Newtonsoft.Json version 6.0.0.0 referenced from Microsoft.Rest.ClientRuntime.Azure.dll does not match assembly version on disk: 10.0.0.0","Update any references to version 6.0.0.0 of assembly Newtonsoft.Json"
"src\Package\Debug\Storage\Azure.Storage","Newtonsoft.Json","6.0.0.0","10.0.0.0","Microsoft.Rest.ClientRuntime","1","1010","Assembly Newtonsoft.Json version 6.0.0.0 referenced from Microsoft.Rest.ClientRuntime.dll does not match assembly version on disk: 10.0.0.0","Update any references to version 6.0.0.0 of assembly Newtonsoft.Json"
"src\Package\Debug\Storage\Azure.Storage","Newtonsoft.Json","6.0.0.0","10.0.0.0","Microsoft.WindowsAzure.Commands.Common","1","1010","Assembly Newtonsoft.Json version 6.0.0.0 referenced from Microsoft.WindowsAzure.Commands.Common.dll does not match assembly version on disk: 10.0.0.0","Update any references to version 6.0.0.0 of assembly Newtonsoft.Json"
"src\Package\Debug\ResourceManager\AzureResourceManager\AzureRM.Storage","Newtonsoft.Json","6.0.0.0","10.0.0.0","Hyak.Common","1","1010","Assembly Newtonsoft.Json version 6.0.0.0 referenced from Hyak.Common.dll does not match assembly version on disk: 10.0.0.0","Update any references to version 6.0.0.0 of assembly Newtonsoft.Json"
"src\Package\Debug\ResourceManager\AzureResourceManager\AzureRM.Storage","Newtonsoft.Json","6.0.0.0","10.0.0.0","Microsoft.Azure.Commands.Common.Authentication.Abstractions","1","1010","Assembly Newtonsoft.Json version 6.0.0.0 referenced from Microsoft.Azure.Commands.Common.Authentication.Abstractions.dll does not match assembly version on disk: 10.0.0.0","Update any references to version 6.0.0.0 of assembly Newtonsoft.Json"
"src\Package\Debug\ResourceManager\AzureResourceManager\AzureRM.Storage","Newtonsoft.Json","6.0.0.0","10.0.0.0","Microsoft.Azure.Commands.ResourceManager.Common","1","1010","Assembly Newtonsoft.Json version 6.0.0.0 referenced from Microsoft.Azure.Commands.ResourceManager.Common.dll does not match assembly version on disk: 10.0.0.0","Update any references to version 6.0.0.0 of assembly Newtonsoft.Json"
"src\Package\Debug\ResourceManager\AzureResourceManager\AzureRM.Storage","Newtonsoft.Json","6.0.0.0","10.0.0.0","Microsoft.Azure.Management.Storage","1","1010","Assembly Newtonsoft.Json version 6.0.0.0 referenced from Microsoft.Azure.Management.Storage.dll does not match assembly version on disk: 10.0.0.0","Update any references to version 6.0.0.0 of assembly Newtonsoft.Json"
"src\Package\Debug\ResourceManager\AzureResourceManager\AzureRM.Storage","Newtonsoft.Json","6.0.0.0","10.0.0.0","Microsoft.Rest.ClientRuntime.Azure","1","1010","Assembly Newtonsoft.Json version 6.0.0.0 referenced from Microsoft.Rest.ClientRuntime.Azure.dll does not match assembly version on disk: 10.0.0.0","Update any references to version 6.0.0.0 of assembly Newtonsoft.Json"
"src\Package\Debug\ResourceManager\AzureResourceManager\AzureRM.Storage","Newtonsoft.Json","6.0.0.0","10.0.0.0","Microsoft.Rest.ClientRuntime","1","1010","Assembly Newtonsoft.Json version 6.0.0.0 referenced from Microsoft.Rest.ClientRuntime.dll does not match assembly version on disk: 10.0.0.0","Update any references to version 6.0.0.0 of assembly Newtonsoft.Json"
"src\Package\Debug\ResourceManager\AzureResourceManager\AzureRM.Storage","Newtonsoft.Json","6.0.0.0","10.0.0.0","Microsoft.WindowsAzure.Commands.Common","1","1010","Assembly Newtonsoft.Json version 6.0.0.0 referenced from Microsoft.WindowsAzure.Commands.Common.dll does not match assembly version on disk: 10.0.0.0","Update any references to version 6.0.0.0 of assembly Newtonsoft.Json"
