"AssemblyFileName","ClassName","Target","Severity","ProblemId","Description","Remediation"
"Az.Advisor","Microsoft.Azure.Commands.Advisor.Cmdlets.EnableAzAdvisorRecommendation","Enable-AzAdvisorRecommendation","0","1050","The parameter set 'IdParameterSet' for cmdlet 'Enable-AzAdvisorRecommendation' has been removed.","Add parameter set 'IdParameterSet' back to cmdlet 'Enable-AzAdvisorRecommendation'."
"Az.Advisor","Microsoft.Azure.Commands.Advisor.Cmdlets.EnableAzAdvisorRecommendation","Enable-AzAdvisorRecommendation","0","1050","The parameter set 'InputObjectParameterSet' for cmdlet 'Enable-AzAdvisorRecommendation' has been removed.","Add parameter set 'InputObjectParameterSet' back to cmdlet 'Enable-AzAdvisorRecommendation'."
"Az.Advisor","Microsoft.Azure.Commands.Advisor.Cmdlets.EnableAzAdvisorRecommendation","Enable-AzAdvisorRecommendation","0","1050","The parameter set 'NameParameterSet' for cmdlet 'Enable-AzAdvisorRecommendation' has been removed.","Add parameter set 'NameParameterSet' back to cmdlet 'Enable-AzAdvisorRecommendation'."
"Az.Advisor","Microsoft.Azure.Commands.Advisor.Cmdlets.GetAzAdvisorConfiguration","Get-AzAdvisorConfiguration","0","1020","The cmdlet 'Get-AzAdvisorConfiguration' no longer has output type 'Microsoft.Azure.Commands.Advisor.Cmdlets.Models.PsAzureAdvisorConfigurationData'.","Make cmdlet 'Get-AzAdvisorConfiguration' return type 'Microsoft.Azure.Commands.Advisor.Cmdlets.Models.PsAzureAdvisorConfigurationData'."
"Az.Advisor","Microsoft.Azure.Commands.Advisor.Cmdlets.GetAzAdvisorConfiguration","Get-AzAdvisorConfiguration","0","2020","The cmdlet 'Get-AzAdvisorConfiguration' no longer supports the type 'Microsoft.Azure.Commands.Common.Authentication.Abstractions.Core.IAzureContextContainer' for parameter 'DefaultProfile'.","Change the type for parameter 'DefaultProfile' back to 'Microsoft.Azure.Commands.Common.Authentication.Abstractions.Core.IAzureContextContainer'."
"Az.Advisor","Microsoft.Azure.Commands.Advisor.Cmdlets.GetAzAdvisorConfiguration","Get-AzAdvisorConfiguration","0","2010","The cmdlet 'Get-AzAdvisorConfiguration' no longer supports the alias 'AzContext' for parameter 'DefaultProfile'.","Add the alias 'AzContext' back to parameter 'DefaultProfile'."
"Az.Advisor","Microsoft.Azure.Commands.Advisor.Cmdlets.GetAzAdvisorConfiguration","Get-AzAdvisorConfiguration","0","2010","The cmdlet 'Get-AzAdvisorConfiguration' no longer supports the alias 'AzureRmContext' for parameter 'DefaultProfile'.","Add the alias 'AzureRmContext' back to parameter 'DefaultProfile'."
"Az.Advisor","Microsoft.Azure.Commands.Advisor.Cmdlets.GetAzAdvisorConfiguration","Get-AzAdvisorConfiguration","0","1050","The parameter set 'RgParameterSet' for cmdlet 'Get-AzAdvisorConfiguration' has been removed.","Add parameter set 'RgParameterSet' back to cmdlet 'Get-AzAdvisorConfiguration'."
"Az.Advisor","Microsoft.Azure.Commands.Advisor.Cmdlets.GetAzAdvisorRecommendation","Get-AzAdvisorRecommendation","0","1020","The cmdlet 'Get-AzAdvisorRecommendation' no longer has output type 'Microsoft.Azure.Commands.Advisor.Cmdlets.Models.PsAzureAdvisorResourceRecommendationBase'.","Make cmdlet 'Get-AzAdvisorRecommendation' return type 'Microsoft.Azure.Commands.Advisor.Cmdlets.Models.PsAzureAdvisorResourceRecommendationBase'."
"Az.Advisor","Microsoft.Azure.Commands.Advisor.Cmdlets.GetAzAdvisorRecommendation","Get-AzAdvisorRecommendation","0","1060","The parameter set 'NameParameterSet' for cmdlet 'Get-AzAdvisorRecommendation' is no longer the default parameter set.","Change the default parameter for cmdlet 'Get-AzAdvisorRecommendation' back to 'NameParameterSet'."
"Az.Advisor","Microsoft.Azure.Commands.Advisor.Cmdlets.GetAzAdvisorRecommendation","Get-AzAdvisorRecommendation","0","1060","The parameter set 'NameParameterSet' for cmdlet 'Get-AzAdvisorRecommendation' is no longer the default parameter set.","Change the default parameter for cmdlet 'Get-AzAdvisorRecommendation' back to 'NameParameterSet'."
"Az.Advisor","Microsoft.Azure.Commands.Advisor.Cmdlets.GetAzAdvisorRecommendation","Get-AzAdvisorRecommendation","0","2020","The cmdlet 'Get-AzAdvisorRecommendation' no longer supports the type 'Microsoft.Azure.Commands.Common.Authentication.Abstractions.Core.IAzureContextContainer' for parameter 'DefaultProfile'.","Change the type for parameter 'DefaultProfile' back to 'Microsoft.Azure.Commands.Common.Authentication.Abstractions.Core.IAzureContextContainer'."
"Az.Advisor","Microsoft.Azure.Commands.Advisor.Cmdlets.GetAzAdvisorRecommendation","Get-AzAdvisorRecommendation","0","2010","The cmdlet 'Get-AzAdvisorRecommendation' no longer supports the alias 'AzContext' for parameter 'DefaultProfile'.","Add the alias 'AzContext' back to parameter 'DefaultProfile'."
"Az.Advisor","Microsoft.Azure.Commands.Advisor.Cmdlets.GetAzAdvisorRecommendation","Get-AzAdvisorRecommendation","0","2010","The cmdlet 'Get-AzAdvisorRecommendation' no longer supports the alias 'AzureRmContext' for parameter 'DefaultProfile'.","Add the alias 'AzureRmContext' back to parameter 'DefaultProfile'."
"Az.Advisor","Microsoft.Azure.Commands.Advisor.Cmdlets.GetAzAdvisorRecommendation","Get-AzAdvisorRecommendation","0","1050","The parameter set 'IdParameterSet' for cmdlet 'Get-AzAdvisorRecommendation' has been removed.","Add parameter set 'IdParameterSet' back to cmdlet 'Get-AzAdvisorRecommendation'."
"Az.Advisor","Microsoft.Azure.Commands.Advisor.Cmdlets.GetAzAdvisorRecommendation","Get-AzAdvisorRecommendation","0","1050","The parameter set 'NameParameterSet' for cmdlet 'Get-AzAdvisorRecommendation' has been removed.","Add parameter set 'NameParameterSet' back to cmdlet 'Get-AzAdvisorRecommendation'."
"Az.Advisor","Microsoft.Azure.Commands.Advisor.Cmdlets.SetAzAdvisorConfiguration","Set-AzAdvisorConfiguration","0","1020","The cmdlet 'Set-AzAdvisorConfiguration' no longer has output type 'Microsoft.Azure.Commands.Advisor.Cmdlets.Models.PsAzureAdvisorConfigurationData'.","Make cmdlet 'Set-AzAdvisorConfiguration' return type 'Microsoft.Azure.Commands.Advisor.Cmdlets.Models.PsAzureAdvisorConfigurationData'."
"Az.Advisor","Microsoft.Azure.Commands.Advisor.Cmdlets.SetAzAdvisorConfiguration","Set-AzAdvisorConfiguration","0","1060","The parameter set 'InputObjectRgExcludeParameterSet' for cmdlet 'Set-AzAdvisorConfiguration' is no longer the default parameter set.","Change the default parameter for cmdlet 'Set-AzAdvisorConfiguration' back to 'InputObjectRgExcludeParameterSet'."
"Az.Advisor","Microsoft.Azure.Commands.Advisor.Cmdlets.SetAzAdvisorConfiguration","Set-AzAdvisorConfiguration","0","1060","The parameter set 'InputObjectRgExcludeParameterSet' for cmdlet 'Set-AzAdvisorConfiguration' is no longer the default parameter set.","Change the default parameter for cmdlet 'Set-AzAdvisorConfiguration' back to 'InputObjectRgExcludeParameterSet'."
"Az.Advisor","Microsoft.Azure.Commands.Advisor.Cmdlets.SetAzAdvisorConfiguration","Set-AzAdvisorConfiguration","0","2020","The cmdlet 'Set-AzAdvisorConfiguration' no longer supports the type 'System.Int32' for parameter 'LowCpuThreshold'.","Change the type for parameter 'LowCpuThreshold' back to 'System.Int32'."
"Az.Advisor","Microsoft.Azure.Commands.Advisor.Cmdlets.SetAzAdvisorConfiguration","Set-AzAdvisorConfiguration","0","2020","The cmdlet 'Set-AzAdvisorConfiguration' no longer supports the type 'Microsoft.Azure.Commands.Advisor.Cmdlets.Models.PsAzureAdvisorConfigurationData' for parameter 'InputObject'.","Change the type for parameter 'InputObject' back to 'Microsoft.Azure.Commands.Advisor.Cmdlets.Models.PsAzureAdvisorConfigurationData'."
"Az.Advisor","Microsoft.Azure.Commands.Advisor.Cmdlets.SetAzAdvisorConfiguration","Set-AzAdvisorConfiguration","0","2020","The cmdlet 'Set-AzAdvisorConfiguration' no longer supports the type 'Microsoft.Azure.Commands.Common.Authentication.Abstractions.Core.IAzureContextContainer' for parameter 'DefaultProfile'.","Change the type for parameter 'DefaultProfile' back to 'Microsoft.Azure.Commands.Common.Authentication.Abstractions.Core.IAzureContextContainer'."
"Az.Advisor","Microsoft.Azure.Commands.Advisor.Cmdlets.SetAzAdvisorConfiguration","Set-AzAdvisorConfiguration","0","2010","The cmdlet 'Set-AzAdvisorConfiguration' no longer supports the alias 'AzContext' for parameter 'DefaultProfile'.","Add the alias 'AzContext' back to parameter 'DefaultProfile'."
"Az.Advisor","Microsoft.Azure.Commands.Advisor.Cmdlets.SetAzAdvisorConfiguration","Set-AzAdvisorConfiguration","0","2010","The cmdlet 'Set-AzAdvisorConfiguration' no longer supports the alias 'AzureRmContext' for parameter 'DefaultProfile'.","Add the alias 'AzureRmContext' back to parameter 'DefaultProfile'."
"Az.Advisor","Microsoft.Azure.Commands.Advisor.Cmdlets.SetAzAdvisorConfiguration","Set-AzAdvisorConfiguration","0","1050","The parameter set 'InputObjectLowCpuExcludeParameterSet' for cmdlet 'Set-AzAdvisorConfiguration' has been removed.","Add parameter set 'InputObjectLowCpuExcludeParameterSet' back to cmdlet 'Set-AzAdvisorConfiguration'."
"Az.Advisor","Microsoft.Azure.Commands.Advisor.Cmdlets.SetAzAdvisorConfiguration","Set-AzAdvisorConfiguration","0","1050","The parameter set 'InputObjectRgExcludeParameterSet' for cmdlet 'Set-AzAdvisorConfiguration' has been removed.","Add parameter set 'InputObjectRgExcludeParameterSet' back to cmdlet 'Set-AzAdvisorConfiguration'."
"Az.Advisor","Microsoft.Azure.Commands.Advisor.Cmdlets.DisableAzAdvisorRecommendation","Disable-AzAdvisorRecommendation","0","1020","The cmdlet 'Disable-AzAdvisorRecommendation' no longer has output type 'Microsoft.Azure.Commands.Advisor.Cmdlets.Models.PsAzureAdvisorSuppressionContract'.","Make cmdlet 'Disable-AzAdvisorRecommendation' return type 'Microsoft.Azure.Commands.Advisor.Cmdlets.Models.PsAzureAdvisorSuppressionContract'."
"Az.Advisor","Microsoft.Azure.Commands.Advisor.Cmdlets.DisableAzAdvisorRecommendation","Disable-AzAdvisorRecommendation","0","2000","The cmdlet 'Disable-AzAdvisorRecommendation' no longer supports the parameter 'Days' and no alias was found for the original parameter name.","Add the parameter 'Days' back to the cmdlet 'Disable-AzAdvisorRecommendation', or add an alias to the original parameter name."
"Az.Advisor","Microsoft.Azure.Commands.Advisor.Cmdlets.DisableAzAdvisorRecommendation","Disable-AzAdvisorRecommendation","0","2020","The cmdlet 'Disable-AzAdvisorRecommendation' no longer supports the type 'Microsoft.Azure.Commands.Advisor.Cmdlets.Models.PsAzureAdvisorResourceRecommendationBase' for parameter 'InputObject'.","Change the type for parameter 'InputObject' back to 'Microsoft.Azure.Commands.Advisor.Cmdlets.Models.PsAzureAdvisorResourceRecommendationBase'."
"Az.Advisor","Microsoft.Azure.Commands.Advisor.Cmdlets.DisableAzAdvisorRecommendation","Disable-AzAdvisorRecommendation","0","2020","The cmdlet 'Disable-AzAdvisorRecommendation' no longer supports the type 'Microsoft.Azure.Commands.Common.Authentication.Abstractions.Core.IAzureContextContainer' for parameter 'DefaultProfile'.","Change the type for parameter 'DefaultProfile' back to 'Microsoft.Azure.Commands.Common.Authentication.Abstractions.Core.IAzureContextContainer'."
"Az.Advisor","Microsoft.Azure.Commands.Advisor.Cmdlets.DisableAzAdvisorRecommendation","Disable-AzAdvisorRecommendation","0","2010","The cmdlet 'Disable-AzAdvisorRecommendation' no longer supports the alias 'AzContext' for parameter 'DefaultProfile'.","Add the alias 'AzContext' back to parameter 'DefaultProfile'."
"Az.Advisor","Microsoft.Azure.Commands.Advisor.Cmdlets.DisableAzAdvisorRecommendation","Disable-AzAdvisorRecommendation","0","2010","The cmdlet 'Disable-AzAdvisorRecommendation' no longer supports the alias 'AzureRmContext' for parameter 'DefaultProfile'.","Add the alias 'AzureRmContext' back to parameter 'DefaultProfile'."
"Az.Advisor","Microsoft.Azure.Commands.Advisor.Cmdlets.DisableAzAdvisorRecommendation","Disable-AzAdvisorRecommendation","0","1050","The parameter set 'IdParameterSet' for cmdlet 'Disable-AzAdvisorRecommendation' has been removed.","Add parameter set 'IdParameterSet' back to cmdlet 'Disable-AzAdvisorRecommendation'."
