"Module","ClassName","Target","Severity","ProblemId","Description","Remediation"
"Az.Cdn","Clear-AzCdnEndpointContent","Clear-AzCdnEndpointContent","0","3000","The type of property 'ContentPath' of type 'Microsoft.Azure.PowerShell.Cmdlets.Cdn.Models.Api20240201.IPurgeParameters' has changed from 'System.String[]' to 'System.Collections.Generic.List`1[System.String]'.","Change the type of property 'ContentPath' back to 'System.String[]'."
"Az.Cdn","Clear-AzFrontDoorCdnEndpointContent","Clear-AzFrontDoorCdnEndpointContent","0","3000","The type of property 'ContentPath' of type 'Microsoft.Azure.PowerShell.Cmdlets.Cdn.Models.Api20240201.IAfdPurgeParameters' has changed from 'System.String[]' to 'System.Collections.Generic.List`1[System.String]'.","Change the type of property 'ContentPath' back to 'System.String[]'."
"Az.Cdn","Clear-AzFrontDoorCdnEndpointContent","Clear-AzFrontDoorCdnEndpointContent","0","3000","The type of property 'Domain' of type 'Microsoft.Azure.PowerShell.Cmdlets.Cdn.Models.Api20240201.IAfdPurgeParameters' has changed from 'System.String[]' to 'System.Collections.Generic.List`1[System.String]'.","Change the type of property 'Domain' back to 'System.String[]'."
"Az.Cdn","Disable-AzCdnCustomDomainCustomHttps","Disable-AzCdnCustomDomainCustomHttps","0","3000","The type of property 'CertificateSource' of type 'Microsoft.Azure.PowerShell.Cmdlets.Cdn.Models.Api20240201.ICustomDomainHttpsParameters' has changed from 'Microsoft.Azure.PowerShell.Cmdlets.Cdn.Support.CertificateSource' to 'System.String'.","Change the type of property 'CertificateSource' back to 'Microsoft.Azure.PowerShell.Cmdlets.Cdn.Support.CertificateSource'."
"Az.Cdn","Disable-AzCdnCustomDomainCustomHttps","Disable-AzCdnCustomDomainCustomHttps","0","3000","The type of property 'ProtocolType' of type 'Microsoft.Azure.PowerShell.Cmdlets.Cdn.Models.Api20240201.ICustomDomainHttpsParameters' has changed from 'Microsoft.Azure.PowerShell.Cmdlets.Cdn.Support.ProtocolType' to 'System.String'.","Change the type of property 'ProtocolType' back to 'Microsoft.Azure.PowerShell.Cmdlets.Cdn.Support.ProtocolType'."
"Az.Cdn","Disable-AzCdnCustomDomainCustomHttps","Disable-AzCdnCustomDomainCustomHttps","0","3000","The type of property 'MinimumTlsVersion' of type 'Microsoft.Azure.PowerShell.Cmdlets.Cdn.Models.Api20240201.ICustomDomainHttpsParameters' has changed from 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Cdn.Support.MinimumTlsVersion]' to 'System.String'.","Change the type of property 'MinimumTlsVersion' back to 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Cdn.Support.MinimumTlsVersion]'."
"Az.Cdn","Disable-AzCdnCustomDomainCustomHttps","Disable-AzCdnCustomDomainCustomHttps","0","3000","The type of property 'ResourceState' of type 'Microsoft.Azure.PowerShell.Cmdlets.Cdn.Models.Api20240201.ICustomDomain' has changed from 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Cdn.Support.CustomDomainResourceState]' to 'System.String'.","Change the type of property 'ResourceState' back to 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Cdn.Support.CustomDomainResourceState]'."
"Az.Cdn","Disable-AzCdnCustomDomainCustomHttps","Disable-AzCdnCustomDomainCustomHttps","0","3000","The type of property 'CustomHttpsProvisioningState' of type 'Microsoft.Azure.PowerShell.Cmdlets.Cdn.Models.Api20240201.ICustomDomain' has changed from 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Cdn.Support.CustomHttpsProvisioningState]' to 'System.String'.","Change the type of property 'CustomHttpsProvisioningState' back to 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Cdn.Support.CustomHttpsProvisioningState]'."
"Az.Cdn","Disable-AzCdnCustomDomainCustomHttps","Disable-AzCdnCustomDomainCustomHttps","0","3000","The type of property 'ProvisioningState' of type 'Microsoft.Azure.PowerShell.Cmdlets.Cdn.Models.Api20240201.ICustomDomain' has changed from 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Cdn.Support.CustomHttpsProvisioningState]' to 'System.String'.","Change the type of property 'ProvisioningState' back to 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Cdn.Support.CustomHttpsProvisioningState]'."
"Az.Cdn","Disable-AzCdnCustomDomainCustomHttps","Disable-AzCdnCustomDomainCustomHttps","0","3000","The type of property 'CustomHttpsProvisioningSubstate' of type 'Microsoft.Azure.PowerShell.Cmdlets.Cdn.Models.Api20240201.ICustomDomain' has changed from 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Cdn.Support.CustomHttpsProvisioningSubstate]' to 'System.String'.","Change the type of property 'CustomHttpsProvisioningSubstate' back to 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Cdn.Support.CustomHttpsProvisioningSubstate]'."
"Az.Cdn","Enable-AzCdnCustomDomainCustomHttps","Enable-AzCdnCustomDomainCustomHttps","0","3000","The type of property 'ResourceState' of type 'Microsoft.Azure.PowerShell.Cmdlets.Cdn.Models.Api20240201.ICustomDomain' has changed from 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Cdn.Support.CustomDomainResourceState]' to 'System.String'.","Change the type of property 'ResourceState' back to 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Cdn.Support.CustomDomainResourceState]'."
"Az.Cdn","Enable-AzCdnCustomDomainCustomHttps","Enable-AzCdnCustomDomainCustomHttps","0","3000","The type of property 'CustomHttpsProvisioningState' of type 'Microsoft.Azure.PowerShell.Cmdlets.Cdn.Models.Api20240201.ICustomDomain' has changed from 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Cdn.Support.CustomHttpsProvisioningState]' to 'System.String'.","Change the type of property 'CustomHttpsProvisioningState' back to 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Cdn.Support.CustomHttpsProvisioningState]'."
"Az.Cdn","Enable-AzCdnCustomDomainCustomHttps","Enable-AzCdnCustomDomainCustomHttps","0","3000","The type of property 'ProvisioningState' of type 'Microsoft.Azure.PowerShell.Cmdlets.Cdn.Models.Api20240201.ICustomDomain' has changed from 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Cdn.Support.CustomHttpsProvisioningState]' to 'System.String'.","Change the type of property 'ProvisioningState' back to 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Cdn.Support.CustomHttpsProvisioningState]'."
"Az.Cdn","Enable-AzCdnCustomDomainCustomHttps","Enable-AzCdnCustomDomainCustomHttps","0","3000","The type of property 'CustomHttpsProvisioningSubstate' of type 'Microsoft.Azure.PowerShell.Cmdlets.Cdn.Models.Api20240201.ICustomDomain' has changed from 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Cdn.Support.CustomHttpsProvisioningSubstate]' to 'System.String'.","Change the type of property 'CustomHttpsProvisioningSubstate' back to 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Cdn.Support.CustomHttpsProvisioningSubstate]'."
"Az.Cdn","Enable-AzCdnCustomDomainCustomHttps","Enable-AzCdnCustomDomainCustomHttps","0","3000","The type of property 'CertificateSource' of type 'Microsoft.Azure.PowerShell.Cmdlets.Cdn.Models.Api20240201.ICustomDomainHttpsParameters' has changed from 'Microsoft.Azure.PowerShell.Cmdlets.Cdn.Support.CertificateSource' to 'System.String'.","Change the type of property 'CertificateSource' back to 'Microsoft.Azure.PowerShell.Cmdlets.Cdn.Support.CertificateSource'."
"Az.Cdn","Enable-AzCdnCustomDomainCustomHttps","Enable-AzCdnCustomDomainCustomHttps","0","3000","The type of property 'ProtocolType' of type 'Microsoft.Azure.PowerShell.Cmdlets.Cdn.Models.Api20240201.ICustomDomainHttpsParameters' has changed from 'Microsoft.Azure.PowerShell.Cmdlets.Cdn.Support.ProtocolType' to 'System.String'.","Change the type of property 'ProtocolType' back to 'Microsoft.Azure.PowerShell.Cmdlets.Cdn.Support.ProtocolType'."
"Az.Cdn","Enable-AzCdnCustomDomainCustomHttps","Enable-AzCdnCustomDomainCustomHttps","0","3000","The type of property 'MinimumTlsVersion' of type 'Microsoft.Azure.PowerShell.Cmdlets.Cdn.Models.Api20240201.ICustomDomainHttpsParameters' has changed from 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Cdn.Support.MinimumTlsVersion]' to 'System.String'.","Change the type of property 'MinimumTlsVersion' back to 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Cdn.Support.MinimumTlsVersion]'."
"Az.Cdn","Get-AzCdnCustomDomain","Get-AzCdnCustomDomain","0","3000","The type of property 'ResourceState' of type 'Microsoft.Azure.PowerShell.Cmdlets.Cdn.Models.Api20240201.ICustomDomain' has changed from 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Cdn.Support.CustomDomainResourceState]' to 'System.String'.","Change the type of property 'ResourceState' back to 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Cdn.Support.CustomDomainResourceState]'."
"Az.Cdn","Get-AzCdnCustomDomain","Get-AzCdnCustomDomain","0","3000","The type of property 'CustomHttpsProvisioningState' of type 'Microsoft.Azure.PowerShell.Cmdlets.Cdn.Models.Api20240201.ICustomDomain' has changed from 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Cdn.Support.CustomHttpsProvisioningState]' to 'System.String'.","Change the type of property 'CustomHttpsProvisioningState' back to 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Cdn.Support.CustomHttpsProvisioningState]'."
"Az.Cdn","Get-AzCdnCustomDomain","Get-AzCdnCustomDomain","0","3000","The type of property 'ProvisioningState' of type 'Microsoft.Azure.PowerShell.Cmdlets.Cdn.Models.Api20240201.ICustomDomain' has changed from 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Cdn.Support.CustomHttpsProvisioningState]' to 'System.String'.","Change the type of property 'ProvisioningState' back to 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Cdn.Support.CustomHttpsProvisioningState]'."
"Az.Cdn","Get-AzCdnCustomDomain","Get-AzCdnCustomDomain","0","3000","The type of property 'CustomHttpsProvisioningSubstate' of type 'Microsoft.Azure.PowerShell.Cmdlets.Cdn.Models.Api20240201.ICustomDomain' has changed from 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Cdn.Support.CustomHttpsProvisioningSubstate]' to 'System.String'.","Change the type of property 'CustomHttpsProvisioningSubstate' back to 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Cdn.Support.CustomHttpsProvisioningSubstate]'."
"Az.Cdn","Get-AzCdnEdgeNode","Get-AzCdnEdgeNode","0","3000","The type of property 'IPAddressGroup' of type 'Microsoft.Azure.PowerShell.Cmdlets.Cdn.Models.Api20240201.IEdgeNode' has changed from 'Microsoft.Azure.PowerShell.Cmdlets.Cdn.Models.IIPAddressGroup' to 'System.Collections.Generic.List`1[Microsoft.Azure.PowerShell.Cmdlets.Cdn.Models.IIPAddressGroup]'.","Change the type of property 'IPAddressGroup' back to 'Microsoft.Azure.PowerShell.Cmdlets.Cdn.Models.IIPAddressGroup'."
"Az.Cdn","Get-AzCdnEndpoint","Get-AzCdnEndpoint","0","3000","The type of property 'CustomDomain' of type 'Microsoft.Azure.PowerShell.Cmdlets.Cdn.Models.Api20240201.IEndpoint' has changed from 'Microsoft.Azure.PowerShell.Cmdlets.Cdn.Models.IDeepCreatedCustomDomain' to 'System.Collections.Generic.List`1[Microsoft.Azure.PowerShell.Cmdlets.Cdn.Models.IDeepCreatedCustomDomain]'.","Change the type of property 'CustomDomain' back to 'Microsoft.Azure.PowerShell.Cmdlets.Cdn.Models.IDeepCreatedCustomDomain'."
"Az.Cdn","Get-AzCdnEndpoint","Get-AzCdnEndpoint","0","3000","The type of property 'Origin' of type 'Microsoft.Azure.PowerShell.Cmdlets.Cdn.Models.Api20240201.IEndpoint' has changed from 'Microsoft.Azure.PowerShell.Cmdlets.Cdn.Models.IDeepCreatedOrigin' to 'System.Collections.Generic.List`1[Microsoft.Azure.PowerShell.Cmdlets.Cdn.Models.IDeepCreatedOrigin]'.","Change the type of property 'Origin' back to 'Microsoft.Azure.PowerShell.Cmdlets.Cdn.Models.IDeepCreatedOrigin'."
"Az.Cdn","Get-AzCdnEndpoint","Get-AzCdnEndpoint","0","3000","The type of property 'OriginGroup' of type 'Microsoft.Azure.PowerShell.Cmdlets.Cdn.Models.Api20240201.IEndpoint' has changed from 'Microsoft.Azure.PowerShell.Cmdlets.Cdn.Models.IDeepCreatedOriginGroup' to 'System.Collections.Generic.List`1[Microsoft.Azure.PowerShell.Cmdlets.Cdn.Models.IDeepCreatedOriginGroup]'.","Change the type of property 'OriginGroup' back to 'Microsoft.Azure.PowerShell.Cmdlets.Cdn.Models.IDeepCreatedOriginGroup'."
"Az.Cdn","Get-AzCdnEndpoint","Get-AzCdnEndpoint","0","3000","The type of property 'DeliveryPolicyRule' of type 'Microsoft.Azure.PowerShell.Cmdlets.Cdn.Models.Api20240201.IEndpoint' has changed from 'Microsoft.Azure.PowerShell.Cmdlets.Cdn.Models.IDeliveryRule' to 'System.Collections.Generic.List`1[Microsoft.Azure.PowerShell.Cmdlets.Cdn.Models.IDeliveryRule]'.","Change the type of property 'DeliveryPolicyRule' back to 'Microsoft.Azure.PowerShell.Cmdlets.Cdn.Models.IDeliveryRule'."
