"Module","ClassName","Target","Severity","ProblemId","Description","Remediation"
"Az.CloudService","Get-AzCloudServiceNetworkInterface","Get-AzCloudServiceNetworkInterface","0","3010","The property 'ProtectionMode' of type 'Microsoft.Azure.PowerShell.Cmdlets.CloudService.Models.Api20220701.IDdosSettings' has been removed.","Add the property 'ProtectionMode' back to type 'Microsoft.Azure.PowerShell.Cmdlets.CloudService.Models.Api20220701.IDdosSettings'."
"Az.CloudService","Get-AzCloudServiceNetworkInterface","Get-AzCloudServiceNetworkInterface","0","3010","The property 'DdosProtectionPlanId' of type 'Microsoft.Azure.PowerShell.Cmdlets.CloudService.Models.Api20220701.IDdosSettings' has been removed.","Add the property 'DdosProtectionPlanId' back to type 'Microsoft.Azure.PowerShell.Cmdlets.CloudService.Models.Api20220701.IDdosSettings'."
"Az.CloudService","Get-AzCloudServiceNetworkInterface","Get-AzCloudServiceNetworkInterface","0","3010","The property 'InboundNatRulesPortMapping' of type 'Microsoft.Azure.PowerShell.Cmdlets.CloudService.Models.Api20220701.ILoadBalancerBackendAddress' has been removed.","Add the property 'InboundNatRulesPortMapping' back to type 'Microsoft.Azure.PowerShell.Cmdlets.CloudService.Models.Api20220701.ILoadBalancerBackendAddress'."
"Az.CloudService","Get-AzCloudServiceNetworkInterface","Get-AzCloudServiceNetworkInterface","0","3010","The property 'AdminState' of type 'Microsoft.Azure.PowerShell.Cmdlets.CloudService.Models.Api20220701.ILoadBalancerBackendAddress' has been removed.","Add the property 'AdminState' back to type 'Microsoft.Azure.PowerShell.Cmdlets.CloudService.Models.Api20220701.ILoadBalancerBackendAddress'."
"Az.CloudService","Get-AzCloudServiceNetworkInterface","Get-AzCloudServiceNetworkInterface","0","3010","The property 'InboundNatRule' of type 'Microsoft.Azure.PowerShell.Cmdlets.CloudService.Models.Api20220701.IBackendAddressPool' has been removed.","Add the property 'InboundNatRule' back to type 'Microsoft.Azure.PowerShell.Cmdlets.CloudService.Models.Api20220701.IBackendAddressPool'."
"Az.CloudService","Get-AzCloudServiceNetworkInterface","Get-AzCloudServiceNetworkInterface","0","3010","The property 'DrainPeriodInSecond' of type 'Microsoft.Azure.PowerShell.Cmdlets.CloudService.Models.Api20220701.IBackendAddressPool' has been removed.","Add the property 'DrainPeriodInSecond' back to type 'Microsoft.Azure.PowerShell.Cmdlets.CloudService.Models.Api20220701.IBackendAddressPool'."
"Az.CloudService","Get-AzCloudServiceNetworkInterface","Get-AzCloudServiceNetworkInterface","0","3010","The property 'FlushConnection' of type 'Microsoft.Azure.PowerShell.Cmdlets.CloudService.Models.Api20220701.ISubnet' has been removed.","Add the property 'FlushConnection' back to type 'Microsoft.Azure.PowerShell.Cmdlets.CloudService.Models.Api20220701.ISubnet'."
"Az.CloudService","Get-AzCloudServiceNetworkInterface","Get-AzCloudServiceNetworkInterface","0","3010","The property 'AuxiliaryMode' of type 'Microsoft.Azure.PowerShell.Cmdlets.CloudService.Models.Api20220701.INetworkInterface' has been removed.","Add the property 'AuxiliaryMode' back to type 'Microsoft.Azure.PowerShell.Cmdlets.CloudService.Models.Api20220701.INetworkInterface'."
"Az.CloudService","Get-AzCloudServiceNetworkInterface","Get-AzCloudServiceNetworkInterface","0","3010","The property 'VnetEncryptionSupported' of type 'Microsoft.Azure.PowerShell.Cmdlets.CloudService.Models.Api20220701.INetworkInterface' has been removed.","Add the property 'VnetEncryptionSupported' back to type 'Microsoft.Azure.PowerShell.Cmdlets.CloudService.Models.Api20220701.INetworkInterface'."
"Az.CloudService","Get-AzCloudServiceNetworkInterface","Get-AzCloudServiceNetworkInterface","0","3010","The property 'DisableTcpStateTracking' of type 'Microsoft.Azure.PowerShell.Cmdlets.CloudService.Models.Api20220701.INetworkInterface' has been removed.","Add the property 'DisableTcpStateTracking' back to type 'Microsoft.Azure.PowerShell.Cmdlets.CloudService.Models.Api20220701.INetworkInterface'."
