"Module","ClassName","Target","Severity","ProblemId","Description","Remediation"
"Az.Compute","Get-AzGalleryApplication","Get-AzGalleryApplication","0","3000","The type of property 'SupportedOSType' of type 'Microsoft.Azure.PowerShell.Cmdlets.Compute.Models.Api20220103.IGalleryApplication' has changed from 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Compute.Support.OperatingSystemTypes]' to 'System.String'.","Change the type of property 'SupportedOSType' back to 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Compute.Support.OperatingSystemTypes]'."
"Az.Compute","Get-AzGalleryApplicationVersion","Get-AzGalleryApplicationVersion","0","3000","The type of property 'PublishingProfileTargetExtendedLocation' of type 'Microsoft.Azure.PowerShell.Cmdlets.Compute.Models.Api20220103.IGalleryApplicationVersion' has changed from 'Microsoft.Azure.PowerShell.Cmdlets.Compute.Models.IGalleryTargetExtendedLocation' to 'System.Collections.Generic.List`1[Microsoft.Azure.PowerShell.Cmdlets.Compute.Models.IGalleryTargetExtendedLocation]'.","Change the type of property 'PublishingProfileTargetExtendedLocation' back to 'Microsoft.Azure.PowerShell.Cmdlets.Compute.Models.IGalleryTargetExtendedLocation'."
"Az.Compute","Get-AzGalleryApplicationVersion","Get-AzGalleryApplicationVersion","0","3000","The type of property 'ReplicationStatusSummary' of type 'Microsoft.Azure.PowerShell.Cmdlets.Compute.Models.Api20220103.IGalleryApplicationVersion' has changed from 'Microsoft.Azure.PowerShell.Cmdlets.Compute.Models.IRegionalReplicationStatus' to 'System.Collections.Generic.List`1[Microsoft.Azure.PowerShell.Cmdlets.Compute.Models.IRegionalReplicationStatus]'.","Change the type of property 'ReplicationStatusSummary' back to 'Microsoft.Azure.PowerShell.Cmdlets.Compute.Models.IRegionalReplicationStatus'."
"Az.Compute","Get-AzGalleryApplicationVersion","Get-AzGalleryApplicationVersion","0","3000","The type of property 'TargetRegion' of type 'Microsoft.Azure.PowerShell.Cmdlets.Compute.Models.Api20220103.IGalleryApplicationVersion' has changed from 'Microsoft.Azure.PowerShell.Cmdlets.Compute.Models.ITargetRegion' to 'System.Collections.Generic.List`1[Microsoft.Azure.PowerShell.Cmdlets.Compute.Models.ITargetRegion]'.","Change the type of property 'TargetRegion' back to 'Microsoft.Azure.PowerShell.Cmdlets.Compute.Models.ITargetRegion'."
"Az.Compute","Get-AzGalleryApplicationVersion","Get-AzGalleryApplicationVersion","0","3000","The type of property 'ReplicationStatusAggregatedState' of type 'Microsoft.Azure.PowerShell.Cmdlets.Compute.Models.Api20220103.IGalleryApplicationVersion' has changed from 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Compute.Support.AggregatedReplicationState]' to 'System.String'.","Change the type of property 'ReplicationStatusAggregatedState' back to 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Compute.Support.AggregatedReplicationState]'."
"Az.Compute","Get-AzGalleryApplicationVersion","Get-AzGalleryApplicationVersion","0","3000","The type of property 'ProvisioningState' of type 'Microsoft.Azure.PowerShell.Cmdlets.Compute.Models.Api20220103.IGalleryApplicationVersion' has changed from 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Compute.Support.GalleryProvisioningState]' to 'System.String'.","Change the type of property 'ProvisioningState' back to 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Compute.Support.GalleryProvisioningState]'."
"Az.Compute","Get-AzGalleryApplicationVersion","Get-AzGalleryApplicationVersion","0","3000","The type of property 'PublishingProfileReplicationMode' of type 'Microsoft.Azure.PowerShell.Cmdlets.Compute.Models.Api20220103.IGalleryApplicationVersion' has changed from 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Compute.Support.ReplicationMode]' to 'System.String'.","Change the type of property 'PublishingProfileReplicationMode' back to 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Compute.Support.ReplicationMode]'."
"Az.Compute","Get-AzGalleryApplicationVersion","Get-AzGalleryApplicationVersion","0","3000","The type of property 'PublishingProfileStorageAccountType' of type 'Microsoft.Azure.PowerShell.Cmdlets.Compute.Models.Api20220103.IGalleryApplicationVersion' has changed from 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Compute.Support.StorageAccountType]' to 'System.String'.","Change the type of property 'PublishingProfileStorageAccountType' back to 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Compute.Support.StorageAccountType]'."
"Az.Compute","Get-AzGalleryApplicationVersion","Get-AzGalleryApplicationVersion","0","2020","The cmdlet 'Get-AzGalleryApplicationVersion' no longer supports the type 'Microsoft.Azure.PowerShell.Cmdlets.Compute.Support.ReplicationStatusTypes' for parameter 'Expand'.","Change the type for parameter 'Expand' back to 'Microsoft.Azure.PowerShell.Cmdlets.Compute.Support.ReplicationStatusTypes'."
"Az.Compute","Invoke-AzSpotPlacementScore","Invoke-AzSpotPlacementScore","0","3000","The type of property 'PlacementScore' of type 'Microsoft.Azure.PowerShell.Cmdlets.Compute.Models.Api20250605.ISpotPlacementScoresResponse' has changed from 'Microsoft.Azure.PowerShell.Cmdlets.Compute.Models.IPlacementScore' to 'System.Collections.Generic.List`1[Microsoft.Azure.PowerShell.Cmdlets.Compute.Models.IPlacementScore]'.","Change the type of property 'PlacementScore' back to 'Microsoft.Azure.PowerShell.Cmdlets.Compute.Models.IPlacementScore'."
