"AssemblyFileName","ClassName","Target","Severity","ProblemId","Description","Remediation"
"Microsoft.Azure.PowerShell.Cmdlets.CosmosDB.dll","Microsoft.Azure.Commands.CosmosDB.InvokeAzCosmosDBCassandraKeyspaceThroughputMigration","Invoke-AzCosmosDBCassandraKeyspaceThroughputMigration","0","1000","The cmdlet 'Invoke-AzCosmosDBCassandraKeyspaceThroughputMigration' has been removed and no alias was found for the original cmdlet name.","Add the cmdlet 'Invoke-AzCosmosDBCassandraKeyspaceThroughputMigration' back to the module, or add an alias to the original cmdlet name."
"Microsoft.Azure.PowerShell.Cmdlets.CosmosDB.dll","Microsoft.Azure.Commands.CosmosDB.InvokeAzCosmosDBCassandraTableThroughputMigration","Invoke-AzCosmosDBCassandraTableThroughputMigration","0","1000","The cmdlet 'Invoke-AzCosmosDBCassandraTableThroughputMigration' has been removed and no alias was found for the original cmdlet name.","Add the cmdlet 'Invoke-AzCosmosDBCassandraTableThroughputMigration' back to the module, or add an alias to the original cmdlet name."
"Microsoft.Azure.PowerShell.Cmdlets.CosmosDB.dll","Microsoft.Azure.Commands.CosmosDB.InvokeAzCosmosDBGremlinDatabaseThroughputMigration","Invoke-AzCosmosDBGremlinDatabaseThroughputMigration","0","1000","The cmdlet 'Invoke-AzCosmosDBGremlinDatabaseThroughputMigration' has been removed and no alias was found for the original cmdlet name.","Add the cmdlet 'Invoke-AzCosmosDBGremlinDatabaseThroughputMigration' back to the module, or add an alias to the original cmdlet name."
"Microsoft.Azure.PowerShell.Cmdlets.CosmosDB.dll","Microsoft.Azure.Commands.CosmosDB.InvokeAzCosmosDBGremlinGraphThroughputMigration","Invoke-AzCosmosDBGremlinGraphThroughputMigration","0","1000","The cmdlet 'Invoke-AzCosmosDBGremlinGraphThroughputMigration' has been removed and no alias was found for the original cmdlet name.","Add the cmdlet 'Invoke-AzCosmosDBGremlinGraphThroughputMigration' back to the module, or add an alias to the original cmdlet name."
"Microsoft.Azure.PowerShell.Cmdlets.CosmosDB.dll","Microsoft.Azure.Commands.CosmosDB.InvokeAzCosmosDBMongoDBCollectionThroughputMigration","Invoke-AzCosmosDBMongoDBCollectionThroughputMigration","0","1000","The cmdlet 'Invoke-AzCosmosDBMongoDBCollectionThroughputMigration' has been removed and no alias was found for the original cmdlet name.","Add the cmdlet 'Invoke-AzCosmosDBMongoDBCollectionThroughputMigration' back to the module, or add an alias to the original cmdlet name."
"Microsoft.Azure.PowerShell.Cmdlets.CosmosDB.dll","Microsoft.Azure.Commands.CosmosDB.InvokeAzCosmosDBMongoDBDatabaseThroughputMigration","Invoke-AzCosmosDBMongoDBDatabaseThroughputMigration","0","1000","The cmdlet 'Invoke-AzCosmosDBMongoDBDatabaseThroughputMigration' has been removed and no alias was found for the original cmdlet name.","Add the cmdlet 'Invoke-AzCosmosDBMongoDBDatabaseThroughputMigration' back to the module, or add an alias to the original cmdlet name."
"Microsoft.Azure.PowerShell.Cmdlets.CosmosDB.dll","Microsoft.Azure.Commands.CosmosDB.InvokeAzCosmosDBSqlContainerThroughputMigration","Invoke-AzCosmosDBSqlContainerThroughputMigration","0","1000","The cmdlet 'Invoke-AzCosmosDBSqlContainerThroughputMigration' has been removed and no alias was found for the original cmdlet name.","Add the cmdlet 'Invoke-AzCosmosDBSqlContainerThroughputMigration' back to the module, or add an alias to the original cmdlet name."
"Microsoft.Azure.PowerShell.Cmdlets.CosmosDB.dll","Microsoft.Azure.Commands.CosmosDB.InvokeAzCosmosDBSqlDatabaseThroughputMigration","Invoke-AzCosmosDBSqlDatabaseThroughputMigration","0","1000","The cmdlet 'Invoke-AzCosmosDBSqlDatabaseThroughputMigration' has been removed and no alias was found for the original cmdlet name.","Add the cmdlet 'Invoke-AzCosmosDBSqlDatabaseThroughputMigration' back to the module, or add an alias to the original cmdlet name."
"Microsoft.Azure.PowerShell.Cmdlets.CosmosDB.dll","Microsoft.Azure.Commands.CosmosDB.NewAzCosmosDBSqlContainer","New-AzCosmosDBSqlContainer","0","2000","The cmdlet 'New-AzCosmosDBSqlContainer' no longer supports the parameter 'AnalyticalStorageTtl' and no alias was found for the original parameter name.","Add the parameter 'AnalyticalStorageTtl' back to the cmdlet 'New-AzCosmosDBSqlContainer', or add an alias to the original parameter name."
"Microsoft.Azure.PowerShell.Cmdlets.CosmosDB.dll","Microsoft.Azure.Commands.CosmosDB.NewAzCosmosDBSqlContainer","New-AzCosmosDBSqlContainer","0","1050","The parameter set 'ByNameParameterSet' for cmdlet 'New-AzCosmosDBSqlContainer' has been removed.","Add parameter set 'ByNameParameterSet' back to cmdlet 'New-AzCosmosDBSqlContainer'."
"Microsoft.Azure.PowerShell.Cmdlets.CosmosDB.dll","Microsoft.Azure.Commands.CosmosDB.NewAzCosmosDBSqlContainer","New-AzCosmosDBSqlContainer","0","1050","The parameter set '__AllParameterSets' for cmdlet 'New-AzCosmosDBSqlContainer' has been removed.","Add parameter set '__AllParameterSets' back to cmdlet 'New-AzCosmosDBSqlContainer'."
"Microsoft.Azure.PowerShell.Cmdlets.CosmosDB.dll","Microsoft.Azure.Commands.CosmosDB.NewAzCosmosDBSqlContainer","New-AzCosmosDBSqlContainer","0","1050","The parameter set 'ByParentObjectParameterSet' for cmdlet 'New-AzCosmosDBSqlContainer' has been removed.","Add parameter set 'ByParentObjectParameterSet' back to cmdlet 'New-AzCosmosDBSqlContainer'."
"Microsoft.Azure.PowerShell.Cmdlets.CosmosDB.dll","Microsoft.Azure.Commands.CosmosDB.UpdateAzCosmosDBSqlContainer","Update-AzCosmosDBSqlContainer","0","2000","The cmdlet 'Update-AzCosmosDBSqlContainer' no longer supports the parameter 'AnalyticalStorageTtl' and no alias was found for the original parameter name.","Add the parameter 'AnalyticalStorageTtl' back to the cmdlet 'Update-AzCosmosDBSqlContainer', or add an alias to the original parameter name."
"Microsoft.Azure.PowerShell.Cmdlets.CosmosDB.dll","Microsoft.Azure.Commands.CosmosDB.UpdateAzCosmosDBSqlContainer","Update-AzCosmosDBSqlContainer","0","1050","The parameter set 'ByNameParameterSet' for cmdlet 'Update-AzCosmosDBSqlContainer' has been removed.","Add parameter set 'ByNameParameterSet' back to cmdlet 'Update-AzCosmosDBSqlContainer'."
"Microsoft.Azure.PowerShell.Cmdlets.CosmosDB.dll","Microsoft.Azure.Commands.CosmosDB.UpdateAzCosmosDBSqlContainer","Update-AzCosmosDBSqlContainer","0","1050","The parameter set '__AllParameterSets' for cmdlet 'Update-AzCosmosDBSqlContainer' has been removed.","Add parameter set '__AllParameterSets' back to cmdlet 'Update-AzCosmosDBSqlContainer'."
"Microsoft.Azure.PowerShell.Cmdlets.CosmosDB.dll","Microsoft.Azure.Commands.CosmosDB.UpdateAzCosmosDBSqlContainer","Update-AzCosmosDBSqlContainer","0","1050","The parameter set 'ByParentObjectParameterSet' for cmdlet 'Update-AzCosmosDBSqlContainer' has been removed.","Add parameter set 'ByParentObjectParameterSet' back to cmdlet 'Update-AzCosmosDBSqlContainer'."
"Microsoft.Azure.PowerShell.Cmdlets.CosmosDB.dll","Microsoft.Azure.Commands.CosmosDB.UpdateAzCosmosDBSqlContainer","Update-AzCosmosDBSqlContainer","0","1050","The parameter set 'ByObjectParameterSet' for cmdlet 'Update-AzCosmosDBSqlContainer' has been removed.","Add parameter set 'ByObjectParameterSet' back to cmdlet 'Update-AzCosmosDBSqlContainer'."
"Microsoft.Azure.PowerShell.Cmdlets.CosmosDB.dll","Microsoft.Azure.Commands.CosmosDB.InvokeAzCosmosDBTableThroughputMigration","Invoke-AzCosmosDBTableThroughputMigration","0","1000","The cmdlet 'Invoke-AzCosmosDBTableThroughputMigration' has been removed and no alias was found for the original cmdlet name.","Add the cmdlet 'Invoke-AzCosmosDBTableThroughputMigration' back to the module, or add an alias to the original cmdlet name."
