"Module","ClassName","Target","Severity","ProblemId","Description","Remediation"
"Az.DevCenter","Approve-AzDevCenterUserDevBox","Approve-AzDevCenterUserDevBox","0","3000","The type of property 'Detail' of type 'Microsoft.Azure.PowerShell.Cmdlets.DevCenterdata.Models.Api20250401Preview.IOperationStatus' has changed from 'Microsoft.Azure.PowerShell.Cmdlets.DevCenterdata.Models.IAzureCoreFoundationsError' to 'System.Collections.Generic.List`1[Microsoft.Azure.PowerShell.Cmdlets.DevCenterdata.Models.IAzureCoreFoundationsError]'.","Change the type of property 'Detail' back to 'Microsoft.Azure.PowerShell.Cmdlets.DevCenterdata.Models.IAzureCoreFoundationsError'."
"Az.DevCenter","Approve-AzDevCenterUserDevBox","Approve-AzDevCenterUserDevBox","0","3000","The type of property 'Status' of type 'Microsoft.Azure.PowerShell.Cmdlets.DevCenterdata.Models.Api20250401Preview.IOperationStatus' has changed from 'Microsoft.Azure.PowerShell.Cmdlets.DevCenterdata.Support.OperationState' to 'System.String'.","Change the type of property 'Status' back to 'Microsoft.Azure.PowerShell.Cmdlets.DevCenterdata.Support.OperationState'."
"Az.DevCenter","Deploy-AzDevCenterUserEnvironment","Deploy-AzDevCenterUserEnvironment","0","3000","The type of property 'Detail' of type 'Microsoft.Azure.PowerShell.Cmdlets.DevCenterdata.Models.Api20250401Preview.IEnvironment' has changed from 'Microsoft.Azure.PowerShell.Cmdlets.DevCenterdata.Models.IAzureCoreFoundationsError' to 'System.Collections.Generic.List`1[Microsoft.Azure.PowerShell.Cmdlets.DevCenterdata.Models.IAzureCoreFoundationsError]'.","Change the type of property 'Detail' back to 'Microsoft.Azure.PowerShell.Cmdlets.DevCenterdata.Models.IAzureCoreFoundationsError'."
"Az.DevCenter","Deploy-AzDevCenterUserEnvironment","Deploy-AzDevCenterUserEnvironment","0","3000","The type of property 'ProvisioningState' of type 'Microsoft.Azure.PowerShell.Cmdlets.DevCenterdata.Models.Api20250401Preview.IEnvironment' has changed from 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.DevCenterdata.Support.EnvironmentProvisioningState]' to 'System.String'.","Change the type of property 'ProvisioningState' back to 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.DevCenterdata.Support.EnvironmentProvisioningState]'."
"Az.DevCenter","Disable-AzDevCenterUserDevBoxAddOn","Disable-AzDevCenterUserDevBoxAddOn","0","3000","The type of property 'Detail' of type 'Microsoft.Azure.PowerShell.Cmdlets.DevCenterdata.Models.Api20250401Preview.IOperationStatus' has changed from 'Microsoft.Azure.PowerShell.Cmdlets.DevCenterdata.Models.IAzureCoreFoundationsError' to 'System.Collections.Generic.List`1[Microsoft.Azure.PowerShell.Cmdlets.DevCenterdata.Models.IAzureCoreFoundationsError]'.","Change the type of property 'Detail' back to 'Microsoft.Azure.PowerShell.Cmdlets.DevCenterdata.Models.IAzureCoreFoundationsError'."
"Az.DevCenter","Disable-AzDevCenterUserDevBoxAddOn","Disable-AzDevCenterUserDevBoxAddOn","0","3000","The type of property 'Status' of type 'Microsoft.Azure.PowerShell.Cmdlets.DevCenterdata.Models.Api20250401Preview.IOperationStatus' has changed from 'Microsoft.Azure.PowerShell.Cmdlets.DevCenterdata.Support.OperationState' to 'System.String'.","Change the type of property 'Status' back to 'Microsoft.Azure.PowerShell.Cmdlets.DevCenterdata.Support.OperationState'."
"Az.DevCenter","Enable-AzDevCenterUserDevBoxAddOn","Enable-AzDevCenterUserDevBoxAddOn","0","3000","The type of property 'Detail' of type 'Microsoft.Azure.PowerShell.Cmdlets.DevCenterdata.Models.Api20250401Preview.IOperationStatus' has changed from 'Microsoft.Azure.PowerShell.Cmdlets.DevCenterdata.Models.IAzureCoreFoundationsError' to 'System.Collections.Generic.List`1[Microsoft.Azure.PowerShell.Cmdlets.DevCenterdata.Models.IAzureCoreFoundationsError]'.","Change the type of property 'Detail' back to 'Microsoft.Azure.PowerShell.Cmdlets.DevCenterdata.Models.IAzureCoreFoundationsError'."
"Az.DevCenter","Enable-AzDevCenterUserDevBoxAddOn","Enable-AzDevCenterUserDevBoxAddOn","0","3000","The type of property 'Status' of type 'Microsoft.Azure.PowerShell.Cmdlets.DevCenterdata.Models.Api20250401Preview.IOperationStatus' has changed from 'Microsoft.Azure.PowerShell.Cmdlets.DevCenterdata.Support.OperationState' to 'System.String'.","Change the type of property 'Status' back to 'Microsoft.Azure.PowerShell.Cmdlets.DevCenterdata.Support.OperationState'."
"Az.DevCenter","Get-AzDevCenterUserDevBox","Get-AzDevCenterUserDevBox","0","3000","The type of property 'Detail' of type 'Microsoft.Azure.PowerShell.Cmdlets.DevCenterdata.Models.Api20250401Preview.IDevBox' has changed from 'Microsoft.Azure.PowerShell.Cmdlets.DevCenterdata.Models.IAzureCoreFoundationsError' to 'System.Collections.Generic.List`1[Microsoft.Azure.PowerShell.Cmdlets.DevCenterdata.Models.IAzureCoreFoundationsError]'.","Change the type of property 'Detail' back to 'Microsoft.Azure.PowerShell.Cmdlets.DevCenterdata.Models.IAzureCoreFoundationsError'."
"Az.DevCenter","Get-AzDevCenterUserDevBox","Get-AzDevCenterUserDevBox","0","3000","The type of property 'ActiveHourConfigurationAutoStartEnableStatus' of type 'Microsoft.Azure.PowerShell.Cmdlets.DevCenterdata.Models.Api20250401Preview.IDevBox' has changed from 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.DevCenterdata.Support.AutoStartEnableStatus]' to 'System.String'.","Change the type of property 'ActiveHourConfigurationAutoStartEnableStatus' back to 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.DevCenterdata.Support.AutoStartEnableStatus]'."
