"Module","ClassName","Target","Severity","ProblemId","Description","Remediation"
"Az.DnsResolver","Get-AzDnsForwardingRuleset","Get-AzDnsForwardingRuleset","0","3000","The type of property 'DnsResolverOutboundEndpoint' of type 'Microsoft.Azure.PowerShell.Cmdlets.DnsResolver.Models.Api20230701Preview.IDnsForwardingRuleset' has changed from 'Microsoft.Azure.PowerShell.Cmdlets.DnsResolver.Models.ISubResource' to 'System.Collections.Generic.List`1[Microsoft.Azure.PowerShell.Cmdlets.DnsResolver.Models.ISubResource]'.","Change the type of property 'DnsResolverOutboundEndpoint' back to 'Microsoft.Azure.PowerShell.Cmdlets.DnsResolver.Models.ISubResource'."
"Az.DnsResolver","Get-AzDnsForwardingRuleset","Get-AzDnsForwardingRuleset","0","3000","The type of property 'ProvisioningState' of type 'Microsoft.Azure.PowerShell.Cmdlets.DnsResolver.Models.Api20230701Preview.IDnsForwardingRuleset' has changed from 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.DnsResolver.Support.ProvisioningState]' to 'System.String'.","Change the type of property 'ProvisioningState' back to 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.DnsResolver.Support.ProvisioningState]'."
"Az.DnsResolver","Get-AzDnsForwardingRulesetForwardingRule","Get-AzDnsForwardingRulesetForwardingRule","0","3000","The type of property 'TargetDnsServer' of type 'Microsoft.Azure.PowerShell.Cmdlets.DnsResolver.Models.Api20230701Preview.IForwardingRule' has changed from 'Microsoft.Azure.PowerShell.Cmdlets.DnsResolver.Models.ITargetDnsServer' to 'System.Collections.Generic.List`1[Microsoft.Azure.PowerShell.Cmdlets.DnsResolver.Models.ITargetDnsServer]'.","Change the type of property 'TargetDnsServer' back to 'Microsoft.Azure.PowerShell.Cmdlets.DnsResolver.Models.ITargetDnsServer'."
"Az.DnsResolver","Get-AzDnsForwardingRulesetForwardingRule","Get-AzDnsForwardingRulesetForwardingRule","0","3000","The type of property 'State' of type 'Microsoft.Azure.PowerShell.Cmdlets.DnsResolver.Models.Api20230701Preview.IForwardingRule' has changed from 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.DnsResolver.Support.ForwardingRuleState]' to 'System.String'.","Change the type of property 'State' back to 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.DnsResolver.Support.ForwardingRuleState]'."
"Az.DnsResolver","Get-AzDnsForwardingRulesetForwardingRule","Get-AzDnsForwardingRulesetForwardingRule","0","3000","The type of property 'ProvisioningState' of type 'Microsoft.Azure.PowerShell.Cmdlets.DnsResolver.Models.Api20230701Preview.IForwardingRule' has changed from 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.DnsResolver.Support.ProvisioningState]' to 'System.String'.","Change the type of property 'ProvisioningState' back to 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.DnsResolver.Support.ProvisioningState]'."
"Az.DnsResolver","Get-AzDnsForwardingRulesetVirtualNetworkLink","Get-AzDnsForwardingRulesetVirtualNetworkLink","0","3000","The type of property 'ProvisioningState' of type 'Microsoft.Azure.PowerShell.Cmdlets.DnsResolver.Models.Api20230701Preview.IVirtualNetworkLink' has changed from 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.DnsResolver.Support.ProvisioningState]' to 'System.String'.","Change the type of property 'ProvisioningState' back to 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.DnsResolver.Support.ProvisioningState]'."
"Az.DnsResolver","Get-AzDnsResolver","Get-AzDnsResolver","0","3000","The type of property 'State' of type 'Microsoft.Azure.PowerShell.Cmdlets.DnsResolver.Models.Api20230701Preview.IDnsResolver' has changed from 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.DnsResolver.Support.DnsResolverState]' to 'System.String'.","Change the type of property 'State' back to 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.DnsResolver.Support.DnsResolverState]'."
"Az.DnsResolver","Get-AzDnsResolver","Get-AzDnsResolver","0","3000","The type of property 'ProvisioningState' of type 'Microsoft.Azure.PowerShell.Cmdlets.DnsResolver.Models.Api20230701Preview.IDnsResolver' has changed from 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.DnsResolver.Support.ProvisioningState]' to 'System.String'.","Change the type of property 'ProvisioningState' back to 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.DnsResolver.Support.ProvisioningState]'."
"Az.DnsResolver","Get-AzDnsResolverDomainList","Get-AzDnsResolverDomainList","0","3000","The type of property 'ProvisioningState' of type 'Microsoft.Azure.PowerShell.Cmdlets.DnsResolver.Models.Api20230701Preview.IDnsResolverDomainList' has changed from 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.DnsResolver.Support.ProvisioningState]' to 'System.String'.","Change the type of property 'ProvisioningState' back to 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.DnsResolver.Support.ProvisioningState]'."
"Az.DnsResolver","Get-AzDnsResolverDomainList","Get-AzDnsResolverDomainList","0","3000","The type of property 'Domain' of type 'Microsoft.Azure.PowerShell.Cmdlets.DnsResolver.Models.Api20230701Preview.IDnsResolverDomainList' has changed from 'System.String[]' to 'System.Collections.Generic.List`1[System.String]'.","Change the type of property 'Domain' back to 'System.String[]'."
"Az.DnsResolver","Get-AzDnsResolverInboundEndpoint","Get-AzDnsResolverInboundEndpoint","0","3000","The type of property 'IPConfiguration' of type 'Microsoft.Azure.PowerShell.Cmdlets.DnsResolver.Models.Api20230701Preview.IInboundEndpoint' has changed from 'Microsoft.Azure.PowerShell.Cmdlets.DnsResolver.Models.IIPConfiguration' to 'System.Collections.Generic.List`1[Microsoft.Azure.PowerShell.Cmdlets.DnsResolver.Models.IIPConfiguration]'.","Change the type of property 'IPConfiguration' back to 'Microsoft.Azure.PowerShell.Cmdlets.DnsResolver.Models.IIPConfiguration'."
"Az.DnsResolver","Get-AzDnsResolverInboundEndpoint","Get-AzDnsResolverInboundEndpoint","0","3000","The type of property 'ProvisioningState' of type 'Microsoft.Azure.PowerShell.Cmdlets.DnsResolver.Models.Api20230701Preview.IInboundEndpoint' has changed from 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.DnsResolver.Support.ProvisioningState]' to 'System.String'.","Change the type of property 'ProvisioningState' back to 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.DnsResolver.Support.ProvisioningState]'."
