"AssemblyFileName","ClassName","Target","Severity","ProblemId","Description","Remediation"
"Az.DnsResolver","Get-AzDnsResolver","Get-AzDnsResolver","2","8010","Get-AzDnsResolver Changes the ConfirmImpact but does not set the SupportsShouldProcess property to true in the cmdlet attribute.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.DnsResolver","Get-AzDnsResolver","Get-AzDnsResolver","2","8200","Get-AzDnsResolver changes the confirm impact.  Please ensure that the change in ConfirmImpact is justified","Verify that ConfirmImpact is changed appropriately by the cmdlet. It is very rare for a cmdlet to change the ConfirmImpact."
"Az.DnsResolver","Get-AzDnsResolver","Get-AzDnsResolver","1","8410","Parameter ProxyUseDefaultCredentials of cmdlet Get-AzDnsResolver does not follow the enforced naming convention of using a singular noun for a parameter name.","Consider using a singular noun for the parameter name."
"Az.DnsResolver","Get-AzDnsResolverDnsForwardingRuleset","Get-AzDnsResolverDnsForwardingRuleset","2","8010","Get-AzDnsResolverDnsForwardingRuleset Changes the ConfirmImpact but does not set the SupportsShouldProcess property to true in the cmdlet attribute.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.DnsResolver","Get-AzDnsResolverDnsForwardingRuleset","Get-AzDnsResolverDnsForwardingRuleset","2","8200","Get-AzDnsResolverDnsForwardingRuleset changes the confirm impact.  Please ensure that the change in ConfirmImpact is justified","Verify that ConfirmImpact is changed appropriately by the cmdlet. It is very rare for a cmdlet to change the ConfirmImpact."
"Az.DnsResolver","Get-AzDnsResolverDnsForwardingRuleset","Get-AzDnsResolverDnsForwardingRuleset","1","8410","Parameter ProxyUseDefaultCredentials of cmdlet Get-AzDnsResolverDnsForwardingRuleset does not follow the enforced naming convention of using a singular noun for a parameter name.","Consider using a singular noun for the parameter name."
"Az.DnsResolver","Get-AzDnsResolverForwardingRule","Get-AzDnsResolverForwardingRule","2","8010","Get-AzDnsResolverForwardingRule Changes the ConfirmImpact but does not set the SupportsShouldProcess property to true in the cmdlet attribute.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.DnsResolver","Get-AzDnsResolverForwardingRule","Get-AzDnsResolverForwardingRule","2","8200","Get-AzDnsResolverForwardingRule changes the confirm impact.  Please ensure that the change in ConfirmImpact is justified","Verify that ConfirmImpact is changed appropriately by the cmdlet. It is very rare for a cmdlet to change the ConfirmImpact."
"Az.DnsResolver","Get-AzDnsResolverForwardingRule","Get-AzDnsResolverForwardingRule","1","8410","Parameter ProxyUseDefaultCredentials of cmdlet Get-AzDnsResolverForwardingRule does not follow the enforced naming convention of using a singular noun for a parameter name.","Consider using a singular noun for the parameter name."
"Az.DnsResolver","Get-AzDnsResolverInboundEndpoint","Get-AzDnsResolverInboundEndpoint","2","8010","Get-AzDnsResolverInboundEndpoint Changes the ConfirmImpact but does not set the SupportsShouldProcess property to true in the cmdlet attribute.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.DnsResolver","Get-AzDnsResolverInboundEndpoint","Get-AzDnsResolverInboundEndpoint","2","8200","Get-AzDnsResolverInboundEndpoint changes the confirm impact.  Please ensure that the change in ConfirmImpact is justified","Verify that ConfirmImpact is changed appropriately by the cmdlet. It is very rare for a cmdlet to change the ConfirmImpact."
"Az.DnsResolver","Get-AzDnsResolverInboundEndpoint","Get-AzDnsResolverInboundEndpoint","1","8410","Parameter ProxyUseDefaultCredentials of cmdlet Get-AzDnsResolverInboundEndpoint does not follow the enforced naming convention of using a singular noun for a parameter name.","Consider using a singular noun for the parameter name."
"Az.DnsResolver","Get-AzDnsResolverOutboundEndpoint","Get-AzDnsResolverOutboundEndpoint","2","8010","Get-AzDnsResolverOutboundEndpoint Changes the ConfirmImpact but does not set the SupportsShouldProcess property to true in the cmdlet attribute.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.DnsResolver","Get-AzDnsResolverOutboundEndpoint","Get-AzDnsResolverOutboundEndpoint","2","8200","Get-AzDnsResolverOutboundEndpoint changes the confirm impact.  Please ensure that the change in ConfirmImpact is justified","Verify that ConfirmImpact is changed appropriately by the cmdlet. It is very rare for a cmdlet to change the ConfirmImpact."
"Az.DnsResolver","Get-AzDnsResolverOutboundEndpoint","Get-AzDnsResolverOutboundEndpoint","1","8410","Parameter ProxyUseDefaultCredentials of cmdlet Get-AzDnsResolverOutboundEndpoint does not follow the enforced naming convention of using a singular noun for a parameter name.","Consider using a singular noun for the parameter name."
"Az.DnsResolver","Get-AzDnsResolverVirtualNetworkLink","Get-AzDnsResolverVirtualNetworkLink","2","8010","Get-AzDnsResolverVirtualNetworkLink Changes the ConfirmImpact but does not set the SupportsShouldProcess property to true in the cmdlet attribute.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.DnsResolver","Get-AzDnsResolverVirtualNetworkLink","Get-AzDnsResolverVirtualNetworkLink","2","8200","Get-AzDnsResolverVirtualNetworkLink changes the confirm impact.  Please ensure that the change in ConfirmImpact is justified","Verify that ConfirmImpact is changed appropriately by the cmdlet. It is very rare for a cmdlet to change the ConfirmImpact."
"Az.DnsResolver","Get-AzDnsResolverVirtualNetworkLink","Get-AzDnsResolverVirtualNetworkLink","1","8410","Parameter ProxyUseDefaultCredentials of cmdlet Get-AzDnsResolverVirtualNetworkLink does not follow the enforced naming convention of using a singular noun for a parameter name.","Consider using a singular noun for the parameter name."
"Az.DnsResolver","New-AzDnsResolver","New-AzDnsResolver","1","8410","Parameter ProxyUseDefaultCredentials of cmdlet New-AzDnsResolver does not follow the enforced naming convention of using a singular noun for a parameter name.","Consider using a singular noun for the parameter name."
"Az.DnsResolver","New-AzDnsResolverDnsForwardingRuleset","New-AzDnsResolverDnsForwardingRuleset","1","8410","Parameter ProxyUseDefaultCredentials of cmdlet New-AzDnsResolverDnsForwardingRuleset does not follow the enforced naming convention of using a singular noun for a parameter name.","Consider using a singular noun for the parameter name."
"Az.DnsResolver","New-AzDnsResolverForwardingRule","New-AzDnsResolverForwardingRule","1","8410","Parameter ProxyUseDefaultCredentials of cmdlet New-AzDnsResolverForwardingRule does not follow the enforced naming convention of using a singular noun for a parameter name.","Consider using a singular noun for the parameter name."
"Az.DnsResolver","New-AzDnsResolverInboundEndpoint","New-AzDnsResolverInboundEndpoint","1","8410","Parameter ProxyUseDefaultCredentials of cmdlet New-AzDnsResolverInboundEndpoint does not follow the enforced naming convention of using a singular noun for a parameter name.","Consider using a singular noun for the parameter name."
"Az.DnsResolver","New-AzDnsResolverIPConfigurationObject","New-AzDnsResolverIPConfigurationObject","2","8010","New-AzDnsResolverIPConfigurationObject Changes the ConfirmImpact but does not set the SupportsShouldProcess property to true in the cmdlet attribute.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.DnsResolver","New-AzDnsResolverIPConfigurationObject","New-AzDnsResolverIPConfigurationObject","1","8100","New-AzDnsResolverIPConfigurationObject Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.DnsResolver","New-AzDnsResolverIPConfigurationObject","New-AzDnsResolverIPConfigurationObject","2","8200","New-AzDnsResolverIPConfigurationObject changes the confirm impact.  Please ensure that the change in ConfirmImpact is justified","Verify that ConfirmImpact is changed appropriately by the cmdlet. It is very rare for a cmdlet to change the ConfirmImpact."
"Az.DnsResolver","New-AzDnsResolverOutboundEndpoint","New-AzDnsResolverOutboundEndpoint","1","8410","Parameter ProxyUseDefaultCredentials of cmdlet New-AzDnsResolverOutboundEndpoint does not follow the enforced naming convention of using a singular noun for a parameter name.","Consider using a singular noun for the parameter name."
