"Module","ClassName","Target","Severity","ProblemId","Description","Remediation"
"Microsoft.Azure.PowerShell.Cmdlets.LogicApp.dll","Microsoft.Azure.Commands.LogicApp.Cmdlets.NewAzureIntegrationAccountCertificateCommand","New-AzIntegrationAccountCertificate","1","8510","Cmdlet 'New-AzIntegrationAccountCertificate' has multiple parameter sets, but no defined default parameter set.","Define a default parameter set in the cmdlet attribute."
"Microsoft.Azure.PowerShell.Cmdlets.LogicApp.dll","Microsoft.Azure.Commands.LogicApp.Cmdlets.NewAzureIntegrationAccountPartnerCommand","New-AzIntegrationAccountPartner","1","8410","Parameter BusinessIdentities of cmdlet New-AzIntegrationAccountPartner does not follow the enforced naming convention of using a singular noun for a parameter name.","Consider using a singular noun for the parameter name."
"Microsoft.Azure.PowerShell.Cmdlets.LogicApp.dll","Microsoft.Azure.Commands.LogicApp.Cmdlets.RemoveAzureIntegrationAccountAgreementCommand","Remove-AzIntegrationAccountAgreement","1","8600","Cmdlet 'Remove-AzIntegrationAccountAgreement' has no defined output type.","Add an OutputType attribute that declares the type of the object(s) returned by this cmdlet. If this cmdlet returns no output, please set the output type to 'bool' and make sure to implement the 'PassThru' parameter."
"Microsoft.Azure.PowerShell.Cmdlets.LogicApp.dll","Microsoft.Azure.Commands.LogicApp.Cmdlets.RemoveAzureIntegrationAccountCertificateCommand","Remove-AzIntegrationAccountCertificate","1","8600","Cmdlet 'Remove-AzIntegrationAccountCertificate' has no defined output type.","Add an OutputType attribute that declares the type of the object(s) returned by this cmdlet. If this cmdlet returns no output, please set the output type to 'bool' and make sure to implement the 'PassThru' parameter."
"Microsoft.Azure.PowerShell.Cmdlets.LogicApp.dll","Microsoft.Azure.Commands.LogicApp.Cmdlets.RemoveAzureIntegrationAccountCommand","Remove-AzIntegrationAccount","1","8600","Cmdlet 'Remove-AzIntegrationAccount' has no defined output type.","Add an OutputType attribute that declares the type of the object(s) returned by this cmdlet. If this cmdlet returns no output, please set the output type to 'bool' and make sure to implement the 'PassThru' parameter."
"Microsoft.Azure.PowerShell.Cmdlets.LogicApp.dll","Microsoft.Azure.Commands.LogicApp.Cmdlets.RemoveAzureIntegrationAccountMapCommand","Remove-AzIntegrationAccountMap","1","8600","Cmdlet 'Remove-AzIntegrationAccountMap' has no defined output type.","Add an OutputType attribute that declares the type of the object(s) returned by this cmdlet. If this cmdlet returns no output, please set the output type to 'bool' and make sure to implement the 'PassThru' parameter."
"Microsoft.Azure.PowerShell.Cmdlets.LogicApp.dll","Microsoft.Azure.Commands.LogicApp.Cmdlets.RemoveAzureIntegrationAccountPartnerCommand","Remove-AzIntegrationAccountPartner","1","8600","Cmdlet 'Remove-AzIntegrationAccountPartner' has no defined output type.","Add an OutputType attribute that declares the type of the object(s) returned by this cmdlet. If this cmdlet returns no output, please set the output type to 'bool' and make sure to implement the 'PassThru' parameter."
"Microsoft.Azure.PowerShell.Cmdlets.LogicApp.dll","Microsoft.Azure.Commands.LogicApp.Cmdlets.RemoveAzureIntegrationAccountReceivedIcnCommand","Remove-AzIntegrationAccountReceivedIcn","1","8600","Cmdlet 'Remove-AzIntegrationAccountReceivedIcn' has no defined output type.","Add an OutputType attribute that declares the type of the object(s) returned by this cmdlet. If this cmdlet returns no output, please set the output type to 'bool' and make sure to implement the 'PassThru' parameter."
"Microsoft.Azure.PowerShell.Cmdlets.LogicApp.dll","Microsoft.Azure.Commands.LogicApp.Cmdlets.RemoveAzureIntegrationAccountSchemaCommand","Remove-AzIntegrationAccountSchema","1","8600","Cmdlet 'Remove-AzIntegrationAccountSchema' has no defined output type.","Add an OutputType attribute that declares the type of the object(s) returned by this cmdlet. If this cmdlet returns no output, please set the output type to 'bool' and make sure to implement the 'PassThru' parameter."
"Microsoft.Azure.PowerShell.Cmdlets.LogicApp.dll","Microsoft.Azure.Commands.LogicApp.Cmdlets.UpdateAzureIntegrationAccountPartnerCommand","Set-AzIntegrationAccountPartner","1","8410","Parameter BusinessIdentities of cmdlet Set-AzIntegrationAccountPartner does not follow the enforced naming convention of using a singular noun for a parameter name.","Consider using a singular noun for the parameter name."
"Microsoft.Azure.PowerShell.Cmdlets.LogicApp.dll","Microsoft.Azure.Commands.LogicApp.Cmdlets.NewAzureLogicAppCommand","New-AzLogicApp","1","8410","Parameter Parameters of cmdlet New-AzLogicApp does not follow the enforced naming convention of using a singular noun for a parameter name.","Consider using a singular noun for the parameter name."
"Microsoft.Azure.PowerShell.Cmdlets.LogicApp.dll","Microsoft.Azure.Commands.LogicApp.Cmdlets.NewAzureLogicAppCommand","New-AzLogicApp","1","8510","Cmdlet 'New-AzLogicApp' has multiple parameter sets, but no defined default parameter set.","Define a default parameter set in the cmdlet attribute."
"Microsoft.Azure.PowerShell.Cmdlets.LogicApp.dll","Microsoft.Azure.Commands.LogicApp.Cmdlets.RunAzureLogicAppCommand","Start-AzLogicApp","1","8410","Parameter Parameters of cmdlet Start-AzLogicApp does not follow the enforced naming convention of using a singular noun for a parameter name.","Consider using a singular noun for the parameter name."
"Microsoft.Azure.PowerShell.Cmdlets.LogicApp.dll","Microsoft.Azure.Commands.LogicApp.Cmdlets.UpdateAzureLogicAppCommand","Set-AzLogicApp","1","8410","Parameter Parameters of cmdlet Set-AzLogicApp does not follow the enforced naming convention of using a singular noun for a parameter name.","Consider using a singular noun for the parameter name."
"Microsoft.Azure.PowerShell.Cmdlets.LogicApp.dll","Microsoft.Azure.Commands.LogicApp.Cmdlets.ValidateAzureLogicApp","Test-AzLogicApp","1","8410","Parameter Parameters of cmdlet Test-AzLogicApp does not follow the enforced naming convention of using a singular noun for a parameter name.","Consider using a singular noun for the parameter name."
