"Module","ClassName","Target","Severity","ProblemId","Description","Remediation"
"Az.MachineLearningServices","New-AzMLWorkspaceAksObject","New-AzMLWorkspaceAksObject","1","8100","New-AzMLWorkspaceAksObject Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.MachineLearningServices","New-AzMLWorkspaceAmlComputeObject","New-AzMLWorkspaceAmlComputeObject","1","8100","New-AzMLWorkspaceAmlComputeObject Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.MachineLearningServices","New-AzMLWorkspaceCommandJobObject","New-AzMLWorkspaceCommandJobObject","1","8100","New-AzMLWorkspaceCommandJobObject Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.MachineLearningServices","New-AzMLWorkspaceComputeInstanceObject","New-AzMLWorkspaceComputeInstanceObject","1","8100","New-AzMLWorkspaceComputeInstanceObject Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.MachineLearningServices","New-AzMLWorkspaceComputeStartStopScheduleObject","New-AzMLWorkspaceComputeStartStopScheduleObject","1","8100","New-AzMLWorkspaceComputeStartStopScheduleObject Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.MachineLearningServices","New-AzMLWorkspaceCustomModelJobInputObject","New-AzMLWorkspaceCustomModelJobInputObject","1","8100","New-AzMLWorkspaceCustomModelJobInputObject Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.MachineLearningServices","New-AzMLWorkspaceCustomModelJobOutputObject","New-AzMLWorkspaceCustomModelJobOutputObject","1","8100","New-AzMLWorkspaceCustomModelJobOutputObject Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.MachineLearningServices","New-AzMLWorkspaceDatabricksObject","New-AzMLWorkspaceDatabricksObject","1","8100","New-AzMLWorkspaceDatabricksObject Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.MachineLearningServices","New-AzMLWorkspaceDataFactoryObject","New-AzMLWorkspaceDataFactoryObject","1","8100","New-AzMLWorkspaceDataFactoryObject Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.MachineLearningServices","New-AzMLWorkspaceDataLakeAnalyticsObject","New-AzMLWorkspaceDataLakeAnalyticsObject","1","8100","New-AzMLWorkspaceDataLakeAnalyticsObject Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.MachineLearningServices","New-AzMLWorkspaceDatastoreBlobObject","New-AzMLWorkspaceDatastoreBlobObject","1","8100","New-AzMLWorkspaceDatastoreBlobObject Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.MachineLearningServices","New-AzMLWorkspaceDatastoreCredentialObject","New-AzMLWorkspaceDatastoreCredentialObject","1","8100","New-AzMLWorkspaceDatastoreCredentialObject Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.MachineLearningServices","New-AzMLWorkspaceDatastoreDataLakeGen1Object","New-AzMLWorkspaceDatastoreDataLakeGen1Object","1","8100","New-AzMLWorkspaceDatastoreDataLakeGen1Object Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.MachineLearningServices","New-AzMLWorkspaceDatastoreDataLakeGen2Object","New-AzMLWorkspaceDatastoreDataLakeGen2Object","1","8100","New-AzMLWorkspaceDatastoreDataLakeGen2Object Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.MachineLearningServices","New-AzMLWorkspaceDatastoreFileObject","New-AzMLWorkspaceDatastoreFileObject","1","8100","New-AzMLWorkspaceDatastoreFileObject Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.MachineLearningServices","New-AzMLWorkspaceDatastoreKeyCredentialObject","New-AzMLWorkspaceDatastoreKeyCredentialObject","1","8100","New-AzMLWorkspaceDatastoreKeyCredentialObject Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
