"Module","Cmdlet","Example","Line","RuleName","ProblemId","Severity","Description","Extent","Remediation"
"Az.MobileNetwork","Update-AzMobileNetworkSlice","1","1","TerminatorExpectedAtEndOfString","5200","1","The string is missing the terminator: '.","'}  }","Unexpected Error. Please check [Trouble Shotting for Unexpected Errors in Example Issues](https://github.com/Azure/azure-powershell/blob/main/documentation/Debugging-StaticAnalysis-Errors.md#Troubleshotting-Example-Issues) for more details."
"Az.MobileNetwork","Update-AzMobileNetworkService","1","1","UnexpectedToken","5200","1","Unexpected token 'abc'='123'}  }  function MobileNetwork-Update-AzMobileNetworkSimGroup-1{  Update-AzMobileNetworkSimGroup -SimGroupName azps-mn-simgroup -ResourceGroupName azps_test_group -Tag @{'abc'='123'}  }  function MobileNetwork-Update-AzMobileNetworkSimPolicy-1{  Update-AzMobileNetworkSimPolicy -MobileNetworkName azps-mn -SimPolicyName azps-mn-simpolicy -ResourceGroupName azps_test_group -Tag @{'abc'='123'}  }  function MobileNetwork-Update-AzMobileNetworkSite-1{  Update-AzMobileNetworkSite -MobileNetworkName azps-mn -SiteName azps-mn-site -ResourceGroupName azps_test_group -Tag @{'site'='123'}  }  function MobileNetwork-Update-AzMobileNetworkSlice-1{  Update-AzMobileNetworkSlice -MobileNetworkName azps-mn -ResourceGroupName azps_test_group -SliceName azps-mn-slice -Tag @{'abc'='123'}  }  ' in expression or statement.","abc'='123'}  }  function MobileNetwork-Update-AzMobileNetworkSimGroup-1{  Update-AzMobileNetworkSimGroup -SimGroupName azps-mn-simgroup -ResourceGroupName azps_test_group -Tag @{'abc'='123'}  }  function MobileNetwork-Update-AzMobileNetworkSimPolicy-1{  Update-AzMobileNetworkSimPolicy -MobileNetworkName azps-mn -SimPolicyName azps-mn-simpolicy -ResourceGroupName azps_test_group -Tag @{'abc'='123'}  }  function MobileNetwork-Update-AzMobileNetworkSite-1{  Update-AzMobileNetworkSite -MobileNetworkName azps-mn -SiteName azps-mn-site -ResourceGroupName azps_test_group -Tag @{'site'='123'}  }  function MobileNetwork-Update-AzMobileNetworkSlice-1{  Update-AzMobileNetworkSlice -MobileNetworkName azps-mn -ResourceGroupName azps_test_group -SliceName azps-mn-slice -Tag @{'abc'='123'}  }","Unexpected Error. Please check [Trouble Shotting for Unexpected Errors in Example Issues](https://github.com/Azure/azure-powershell/blob/main/documentation/Debugging-StaticAnalysis-Errors.md#Troubleshotting-Example-Issues) for more details."
"Az.MobileNetwork","Update-AzMobileNetworkPacketCoreDataPlane","1","1","MissingEndCurlyBrace","5200","1","Missing closing '}' in statement block or type definition.","","Unexpected Error. Please check [Trouble Shotting for Unexpected Errors in Example Issues](https://github.com/Azure/azure-powershell/blob/main/documentation/Debugging-StaticAnalysis-Errors.md#Troubleshotting-Example-Issues) for more details."
"Az.MobileNetwork","Update-AzMobileNetworkPacketCoreDataPlane","1","0","MissingEndCurlyBrace","5200","1","Missing closing '}' in statement block or type definition.","{","Unexpected Error. Please check [Trouble Shotting for Unexpected Errors in Example Issues](https://github.com/Azure/azure-powershell/blob/main/documentation/Debugging-StaticAnalysis-Errors.md#Troubleshotting-Example-Issues) for more details."
"Az.MobileNetwork","Get-AzMobileNetworkPacketCoreControlPlane","2","1","Invalid_Parameter_Name","5011","1","Get-AzMobileNetworkPacketCoreControlPlane -ResourceGroup is not a valid parameter name.","-ResourceGroup","Check validity of the parameter -ResourceGroup."
"Az.MobileNetwork","Get-AzMobileNetworkPacketCoreControlPlane","3","1","Invalid_Parameter_Name","5011","1","Get-AzMobileNetworkPacketCoreControlPlane -ResourceGroup is not a valid parameter name.","-ResourceGroup","Check validity of the parameter -ResourceGroup."
"Az.MobileNetwork","New-AzMobileNetworkPacketCoreControlPlane","1","1","Unbinded_Expression","5014","1","New-AzMobileNetworkSiteResourceIdObject {subId} is not explicitly assigned to a parameter.","{subId}","Assign {subId} explicitly to the parameter."
"Az.MobileNetwork","New-AzMobileNetworkPacketCoreControlPlane","1","1","Unbinded_Expression","5014","1","New-AzMobileNetworkSiteResourceIdObject /resourceGroups/azps_test_group/providers/Microsoft.MobileNetwork/mobileNetworks/azps-mn/sites/azps-mn-site is not explicitly assigned to a parameter.","/resourceGroups/azps_test_group/providers/Microsoft.MobileNetwork/mobileNetworks/azps-mn/sites/azps-mn-site","Assign /resourceGroups/azps_test_group/providers/Microsoft.MobileNetwork/mobileNetworks/azps-mn/sites/azps-mn-site explicitly to the parameter."
"Az.MobileNetwork","New-AzMobileNetworkPacketCoreControlPlane","1","1","Invalid_Cmdlet","5000","1","subId is not a valid command name.","subId","Check the spell of subId."
"Az.MobileNetwork","Update-AzMobileNetworkAttachedDataNetwork","1","1","Unassigned_Parameter","5013","1","Update-AzMobileNetworkAttachedDataNetwork -ResourceGroupName must be assigned with a value.","-ResourceGroupName","Assign value for the parameter -ResourceGroupName."
"Az.MobileNetwork","Update-AzMobileNetworkService","1","1","Unbinded_Expression","5014","1","Update-AzMobileNetworkPacketCoreDataPlane abc'='123'}  }  function MobileNetwork-Update-AzMobileNetworkSimGroup-1{  Update-AzMobileNetworkSimGroup -SimGroupName azps-mn-simgroup -ResourceGroupName azps_test_group -Tag @{'abc'='123'}  }  function MobileNetwork-Update-AzMobileNetworkSimPolicy-1{  Update-AzMobileNetworkSimPolicy -MobileNetworkName azps-mn -SimPolicyName azps-mn-simpolicy -ResourceGroupName azps_test_group -Tag @{'abc'='123'}  }  function MobileNetwork-Update-AzMobileNetworkSite-1{  Update-AzMobileNetworkSite -MobileNetworkName azps-mn -SiteName azps-mn-site -ResourceGroupName azps_test_group -Tag @{'site'='123'}  }  function MobileNetwork-Update-AzMobileNetworkSlice-1{  Update-AzMobileNetworkSlice -MobileNetworkName azps-mn -ResourceGroupName azps_test_group -SliceName azps-mn-slice -Tag @{'abc'='123'}  }   is not explicitly assigned to a parameter.","abc'='123'}  }  function MobileNetwork-Update-AzMobileNetworkSimGroup-1{  Update-AzMobileNetworkSimGroup -SimGroupName azps-mn-simgroup -ResourceGroupName azps_test_group -Tag @{'abc'='123'}  }  function MobileNetwork-Update-AzMobileNetworkSimPolicy-1{  Update-AzMobileNetworkSimPolicy -MobileNetworkName azps-mn -SimPolicyName azps-mn-simpolicy -ResourceGroupName azps_test_group -Tag @{'abc'='123'}  }  function MobileNetwork-Update-AzMobileNetworkSite-1{  Update-AzMobileNetworkSite -MobileNetworkName azps-mn -SiteName azps-mn-site -ResourceGroupName azps_test_group -Tag @{'site'='123'}  }  function MobileNetwork-Update-AzMobileNetworkSlice-1{  Update-AzMobileNetworkSlice -MobileNetworkName azps-mn -ResourceGroupName azps_test_group -SliceName azps-mn-slice -Tag @{'abc'='123'}  }","Assign abc'='123'}  }  function MobileNetwork-Update-AzMobileNetworkSimGroup-1{  Update-AzMobileNetworkSimGroup -SimGroupName azps-mn-simgroup -ResourceGroupName azps_test_group -Tag @{'abc'='123'}  }  function MobileNetwork-Update-AzMobileNetworkSimPolicy-1{  Update-AzMobileNetworkSimPolicy -MobileNetworkName azps-mn -SimPolicyName azps-mn-simpolicy -ResourceGroupName azps_test_group -Tag @{'abc'='123'}  }  function MobileNetwork-Update-AzMobileNetworkSite-1{  Update-AzMobileNetworkSite -MobileNetworkName azps-mn -SiteName azps-mn-site -ResourceGroupName azps_test_group -Tag @{'site'='123'}  }  function MobileNetwork-Update-AzMobileNetworkSlice-1{  Update-AzMobileNetworkSlice -MobileNetworkName azps-mn -ResourceGroupName azps_test_group -SliceName azps-mn-slice -Tag @{'abc'='123'}  }   explicitly to the parameter."
