"Module","ClassName","Target","Severity","ProblemId","Description","Remediation"
"Az.NetworkCloud","New-AzNetworkCloudBgpAdvertisementObject","New-AzNetworkCloudBgpAdvertisementObject","1","8100","New-AzNetworkCloudBgpAdvertisementObject Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.NetworkCloud","New-AzNetworkCloudBgpServiceLoadBalancerConfigurationObject","New-AzNetworkCloudBgpServiceLoadBalancerConfigurationObject","1","8100","New-AzNetworkCloudBgpServiceLoadBalancerConfigurationObject Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.NetworkCloud","New-AzNetworkCloudControlPlaneNodeConfigurationObject","New-AzNetworkCloudControlPlaneNodeConfigurationObject","1","8100","New-AzNetworkCloudControlPlaneNodeConfigurationObject Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.NetworkCloud","New-AzNetworkCloudEgressEndpointObject","New-AzNetworkCloudEgressEndpointObject","1","8100","New-AzNetworkCloudEgressEndpointObject Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.NetworkCloud","New-AzNetworkCloudEndpointDependencyObject","New-AzNetworkCloudEndpointDependencyObject","1","8100","New-AzNetworkCloudEndpointDependencyObject Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.NetworkCloud","New-AzNetworkCloudInitialAgentPoolConfigurationObject","New-AzNetworkCloudInitialAgentPoolConfigurationObject","1","8100","New-AzNetworkCloudInitialAgentPoolConfigurationObject Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.NetworkCloud","New-AzNetworkCloudKeySetUserObject","New-AzNetworkCloudKeySetUserObject","1","8100","New-AzNetworkCloudKeySetUserObject Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.NetworkCloud","New-AzNetworkCloudL3NetworkAttachmentConfigurationObject","New-AzNetworkCloudL3NetworkAttachmentConfigurationObject","1","8100","New-AzNetworkCloudL3NetworkAttachmentConfigurationObject Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.NetworkCloud","New-AzNetworkCloudNetworkAttachmentObject","New-AzNetworkCloudNetworkAttachmentObject","1","8100","New-AzNetworkCloudNetworkAttachmentObject Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.NetworkCloud","New-AzNetworkCloudRackDefinitionObject","New-AzNetworkCloudRackDefinitionObject","1","8100","New-AzNetworkCloudRackDefinitionObject Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.NetworkCloud","New-AzNetworkCloudServiceLoadBalancerBgpPeerObject","New-AzNetworkCloudServiceLoadBalancerBgpPeerObject","1","8100","New-AzNetworkCloudServiceLoadBalancerBgpPeerObject Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.NetworkCloud","New-AzNetworkCloudStorageApplianceConfigurationDataObject","New-AzNetworkCloudStorageApplianceConfigurationDataObject","1","8100","New-AzNetworkCloudStorageApplianceConfigurationDataObject Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.NetworkCloud","New-AzNetworkCloudVirtualMachinePlacementHintObject","New-AzNetworkCloudVirtualMachinePlacementHintObject","1","8100","New-AzNetworkCloudVirtualMachinePlacementHintObject Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.NetworkCloud","New-AzNetworkCloudIpAddressPoolObject","New-AzNetworkCloudIpAddressPoolObject","1","8100","New-AzNetworkCloudIpAddressPoolObject Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.NetworkCloud","New-AzNetworkCloudBareMetalMachineConfigurationDataObject","New-AzNetworkCloudBareMetalMachineConfigurationDataObject","1","8100","New-AzNetworkCloudBareMetalMachineConfigurationDataObject Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.NetworkCloud","Get-AzNetworkCloudAgentPool","Get-AzNetworkCloudAgentPool","2","8010","Get-AzNetworkCloudAgentPool Changes the ConfirmImpact but does not set the SupportsShouldProcess property to true in the cmdlet attribute.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.NetworkCloud","Get-AzNetworkCloudAgentPool","Get-AzNetworkCloudAgentPool","2","8200","Get-AzNetworkCloudAgentPool changes the confirm impact.  Please ensure that the change in ConfirmImpact is justified","Verify that ConfirmImpact is changed appropriately by the cmdlet. It is very rare for a cmdlet to change the ConfirmImpact."
"Az.NetworkCloud","Get-AzNetworkCloudBareMetalMachine","Get-AzNetworkCloudBareMetalMachine","2","8010","Get-AzNetworkCloudBareMetalMachine Changes the ConfirmImpact but does not set the SupportsShouldProcess property to true in the cmdlet attribute.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.NetworkCloud","Get-AzNetworkCloudBareMetalMachine","Get-AzNetworkCloudBareMetalMachine","2","8200","Get-AzNetworkCloudBareMetalMachine changes the confirm impact.  Please ensure that the change in ConfirmImpact is justified","Verify that ConfirmImpact is changed appropriately by the cmdlet. It is very rare for a cmdlet to change the ConfirmImpact."
"Az.NetworkCloud","Get-AzNetworkCloudBareMetalMachineKeySet","Get-AzNetworkCloudBareMetalMachineKeySet","2","8010","Get-AzNetworkCloudBareMetalMachineKeySet Changes the ConfirmImpact but does not set the SupportsShouldProcess property to true in the cmdlet attribute.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.NetworkCloud","Get-AzNetworkCloudBareMetalMachineKeySet","Get-AzNetworkCloudBareMetalMachineKeySet","2","8200","Get-AzNetworkCloudBareMetalMachineKeySet changes the confirm impact.  Please ensure that the change in ConfirmImpact is justified","Verify that ConfirmImpact is changed appropriately by the cmdlet. It is very rare for a cmdlet to change the ConfirmImpact."
"Az.NetworkCloud","Get-AzNetworkCloudBmcKeySet","Get-AzNetworkCloudBmcKeySet","2","8010","Get-AzNetworkCloudBmcKeySet Changes the ConfirmImpact but does not set the SupportsShouldProcess property to true in the cmdlet attribute.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.NetworkCloud","Get-AzNetworkCloudBmcKeySet","Get-AzNetworkCloudBmcKeySet","2","8200","Get-AzNetworkCloudBmcKeySet changes the confirm impact.  Please ensure that the change in ConfirmImpact is justified","Verify that ConfirmImpact is changed appropriately by the cmdlet. It is very rare for a cmdlet to change the ConfirmImpact."
"Az.NetworkCloud","Get-AzNetworkCloudCluster","Get-AzNetworkCloudCluster","2","8010","Get-AzNetworkCloudCluster Changes the ConfirmImpact but does not set the SupportsShouldProcess property to true in the cmdlet attribute.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.NetworkCloud","Get-AzNetworkCloudCluster","Get-AzNetworkCloudCluster","2","8200","Get-AzNetworkCloudCluster changes the confirm impact.  Please ensure that the change in ConfirmImpact is justified","Verify that ConfirmImpact is changed appropriately by the cmdlet. It is very rare for a cmdlet to change the ConfirmImpact."
"Az.NetworkCloud","Get-AzNetworkCloudClusterManager","Get-AzNetworkCloudClusterManager","2","8010","Get-AzNetworkCloudClusterManager Changes the ConfirmImpact but does not set the SupportsShouldProcess property to true in the cmdlet attribute.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
