"AssemblyFileName","ClassName","Target","Severity","ProblemId","Description","Remediation"
"Az.ResourceMover","Add-AzResourceMoverMoveResource","Add-AzResourceMoverMoveResource","1","8100","Add-AzResourceMoverMoveResource Does not support ShouldProcess but the cmdlet verb Add indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.ResourceMover","Add-AzResourceMoverMoveResource","Add-AzResourceMoverMoveResource","1","8410","Parameter ProxyUseDefaultCredentials of cmdlet Add-AzResourceMoverMoveResource does not follow the enforced naming convention of using a singular noun for a parameter name.","Consider using a singular noun for the parameter name."
"Az.ResourceMover","Get-AzResourceMoverMoveCollection","Get-AzResourceMoverMoveCollection","1","8410","Parameter ProxyUseDefaultCredentials of cmdlet Get-AzResourceMoverMoveCollection does not follow the enforced naming convention of using a singular noun for a parameter name.","Consider using a singular noun for the parameter name."
"Az.ResourceMover","Get-AzResourceMoverMoveResource","Get-AzResourceMoverMoveResource","1","8410","Parameter ProxyUseDefaultCredentials of cmdlet Get-AzResourceMoverMoveResource does not follow the enforced naming convention of using a singular noun for a parameter name.","Consider using a singular noun for the parameter name."
"Az.ResourceMover","Get-AzResourceMoverRequiredForResources","Get-AzResourceMoverRequiredForResources","1","8400","Get-AzResourceMoverRequiredForResources uses the noun 'AzResourceMoverRequiredForResources', which does not follow the enforced naming convention of using a singular noun for a cmdlet name.","Consider using a singular noun for the cmdlet name."
"Az.ResourceMover","Get-AzResourceMoverRequiredForResources","Get-AzResourceMoverRequiredForResources","1","8410","Parameter ProxyUseDefaultCredentials of cmdlet Get-AzResourceMoverRequiredForResources does not follow the enforced naming convention of using a singular noun for a parameter name.","Consider using a singular noun for the parameter name."
"Az.ResourceMover","Get-AzResourceMoverUnresolvedDependency","Get-AzResourceMoverUnresolvedDependency","1","8410","Parameter ProxyUseDefaultCredentials of cmdlet Get-AzResourceMoverUnresolvedDependency does not follow the enforced naming convention of using a singular noun for a parameter name.","Consider using a singular noun for the parameter name."
"Az.ResourceMover","Invoke-AzResourceMoverBulkRemove","Invoke-AzResourceMoverBulkRemove","1","8100","Invoke-AzResourceMoverBulkRemove Does not support ShouldProcess but the cmdlet verb Invoke indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.ResourceMover","Invoke-AzResourceMoverBulkRemove","Invoke-AzResourceMoverBulkRemove","1","8410","Parameter ProxyUseDefaultCredentials of cmdlet Invoke-AzResourceMoverBulkRemove does not follow the enforced naming convention of using a singular noun for a parameter name.","Consider using a singular noun for the parameter name."
"Az.ResourceMover","Invoke-AzResourceMoverCommit","Invoke-AzResourceMoverCommit","1","8100","Invoke-AzResourceMoverCommit Does not support ShouldProcess but the cmdlet verb Invoke indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
