"Module","ClassName","Target","Severity","ProblemId","Description","Remediation"
"Az.Resources","Get-AzRoleAssignmentSchedule","Get-AzRoleAssignmentSchedule","0","3000","The type of property 'AssignmentType' of type 'Microsoft.Azure.PowerShell.Cmdlets.Resources.Authorization.Models.Api20201001Preview.IRoleAssignmentSchedule' has changed from 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Resources.Authorization.Support.AssignmentType]' to 'System.String'.","Change the type of property 'AssignmentType' back to 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Resources.Authorization.Support.AssignmentType]'."
"Az.Resources","Get-AzRoleAssignmentSchedule","Get-AzRoleAssignmentSchedule","0","3000","The type of property 'MemberType' of type 'Microsoft.Azure.PowerShell.Cmdlets.Resources.Authorization.Models.Api20201001Preview.IRoleAssignmentSchedule' has changed from 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Resources.Authorization.Support.MemberType]' to 'System.String'.","Change the type of property 'MemberType' back to 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Resources.Authorization.Support.MemberType]'."
"Az.Resources","Get-AzRoleAssignmentSchedule","Get-AzRoleAssignmentSchedule","0","3000","The type of property 'PrincipalType' of type 'Microsoft.Azure.PowerShell.Cmdlets.Resources.Authorization.Models.Api20201001Preview.IRoleAssignmentSchedule' has changed from 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Resources.Authorization.Support.PrincipalType]' to 'System.String'.","Change the type of property 'PrincipalType' back to 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Resources.Authorization.Support.PrincipalType]'."
"Az.Resources","Get-AzRoleAssignmentSchedule","Get-AzRoleAssignmentSchedule","0","3000","The type of property 'Status' of type 'Microsoft.Azure.PowerShell.Cmdlets.Resources.Authorization.Models.Api20201001Preview.IRoleAssignmentSchedule' has changed from 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Resources.Authorization.Support.Status]' to 'System.String'.","Change the type of property 'Status' back to 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Resources.Authorization.Support.Status]'."
"Az.Resources","Get-AzRoleAssignmentScheduleInstance","Get-AzRoleAssignmentScheduleInstance","0","3000","The type of property 'AssignmentType' of type 'Microsoft.Azure.PowerShell.Cmdlets.Resources.Authorization.Models.Api20201001Preview.IRoleAssignmentScheduleInstance' has changed from 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Resources.Authorization.Support.AssignmentType]' to 'System.String'.","Change the type of property 'AssignmentType' back to 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Resources.Authorization.Support.AssignmentType]'."
"Az.Resources","Get-AzRoleAssignmentScheduleInstance","Get-AzRoleAssignmentScheduleInstance","0","3000","The type of property 'MemberType' of type 'Microsoft.Azure.PowerShell.Cmdlets.Resources.Authorization.Models.Api20201001Preview.IRoleAssignmentScheduleInstance' has changed from 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Resources.Authorization.Support.MemberType]' to 'System.String'.","Change the type of property 'MemberType' back to 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Resources.Authorization.Support.MemberType]'."
"Az.Resources","Get-AzRoleAssignmentScheduleInstance","Get-AzRoleAssignmentScheduleInstance","0","3000","The type of property 'PrincipalType' of type 'Microsoft.Azure.PowerShell.Cmdlets.Resources.Authorization.Models.Api20201001Preview.IRoleAssignmentScheduleInstance' has changed from 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Resources.Authorization.Support.PrincipalType]' to 'System.String'.","Change the type of property 'PrincipalType' back to 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Resources.Authorization.Support.PrincipalType]'."
"Az.Resources","Get-AzRoleAssignmentScheduleInstance","Get-AzRoleAssignmentScheduleInstance","0","3000","The type of property 'Status' of type 'Microsoft.Azure.PowerShell.Cmdlets.Resources.Authorization.Models.Api20201001Preview.IRoleAssignmentScheduleInstance' has changed from 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Resources.Authorization.Support.Status]' to 'System.String'.","Change the type of property 'Status' back to 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Resources.Authorization.Support.Status]'."
"Az.Resources","Get-AzRoleAssignmentScheduleRequest","Get-AzRoleAssignmentScheduleRequest","0","3000","The type of property 'PrincipalType' of type 'Microsoft.Azure.PowerShell.Cmdlets.Resources.Authorization.Models.Api20201001Preview.IRoleAssignmentScheduleRequest' has changed from 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Resources.Authorization.Support.PrincipalType]' to 'System.String'.","Change the type of property 'PrincipalType' back to 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Resources.Authorization.Support.PrincipalType]'."
"Az.Resources","Get-AzRoleAssignmentScheduleRequest","Get-AzRoleAssignmentScheduleRequest","0","3000","The type of property 'RequestType' of type 'Microsoft.Azure.PowerShell.Cmdlets.Resources.Authorization.Models.Api20201001Preview.IRoleAssignmentScheduleRequest' has changed from 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Resources.Authorization.Support.RequestType]' to 'System.String'.","Change the type of property 'RequestType' back to 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.Resources.Authorization.Support.RequestType]'."
