"Module","ClassName","Target","Severity","ProblemId","Description","Remediation"
"Microsoft.Azure.PowerShell.Cmdlets.ServiceFabric.dll","Microsoft.Azure.Commands.ServiceFabric.Commands.AddAzureRmServiceFabricApplicationCertificate","Add-AzServiceFabricApplicationCertificate","1","8510","Cmdlet 'Add-AzServiceFabricApplicationCertificate' has multiple parameter sets, but no defined default parameter set.","Define a default parameter set in the cmdlet attribute."
"Microsoft.Azure.PowerShell.Cmdlets.ServiceFabric.dll","Microsoft.Azure.Commands.ServiceFabric.Commands.AddAzureRmServiceFabricClientCertificate","Add-AzServiceFabricClientCertificate","1","8510","Cmdlet 'Add-AzServiceFabricClientCertificate' has multiple parameter sets, but no defined default parameter set.","Define a default parameter set in the cmdlet attribute."
"Microsoft.Azure.PowerShell.Cmdlets.ServiceFabric.dll","Microsoft.Azure.Commands.ServiceFabric.Commands.RemoveAzureRmServiceFabricClientCertificate","Remove-AzServiceFabricClientCertificate","1","8510","Cmdlet 'Remove-AzServiceFabricClientCertificate' has multiple parameter sets, but no defined default parameter set.","Define a default parameter set in the cmdlet attribute."
"Microsoft.Azure.PowerShell.Cmdlets.ServiceFabric.dll","Microsoft.Azure.Commands.ServiceFabric.Commands.RemoveAzureRmServiceFabricSetting","Remove-AzServiceFabricSetting","1","8510","Cmdlet 'Remove-AzServiceFabricSetting' has multiple parameter sets, but no defined default parameter set.","Define a default parameter set in the cmdlet attribute."
"Microsoft.Azure.PowerShell.Cmdlets.ServiceFabric.dll","Microsoft.Azure.Commands.ServiceFabric.Commands.SetAzureRmServiceFabricSetting","Set-AzServiceFabricSetting","1","8510","Cmdlet 'Set-AzServiceFabricSetting' has multiple parameter sets, but no defined default parameter set.","Define a default parameter set in the cmdlet attribute."
"Microsoft.Azure.PowerShell.Cmdlets.ServiceFabric.dll","Microsoft.Azure.Commands.ServiceFabric.Commands.SetAzureRmServiceFabricUpgradeType","Set-AzServiceFabricUpgradeType","1","8510","Cmdlet 'Set-AzServiceFabricUpgradeType' has multiple parameter sets, but no defined default parameter set.","Define a default parameter set in the cmdlet attribute."
"Microsoft.Azure.PowerShell.Cmdlets.ServiceFabric.dll","Microsoft.Azure.Commands.ServiceFabric.Commands.NewAzServiceFabricService","New-AzServiceFabricService","1","8410","Parameter Stateless of cmdlet New-AzServiceFabricService does not follow the enforced naming convention of using a singular noun for a parameter name.","Consider using a singular noun for the parameter name."
"Microsoft.Azure.PowerShell.Cmdlets.ServiceFabric.dll","Microsoft.Azure.Commands.ServiceFabric.Commands.SetAzServiceFabricManagedClusterService","Set-AzServiceFabricManagedClusterService","1","8410","Parameter Stateless of cmdlet Set-AzServiceFabricManagedClusterService does not follow the enforced naming convention of using a singular noun for a parameter name.","Consider using a singular noun for the parameter name."
"Microsoft.Azure.PowerShell.Cmdlets.ServiceFabric.dll","Microsoft.Azure.Commands.ServiceFabric.Commands.NewAzServiceFabricManagedClusterService","New-AzServiceFabricManagedClusterService","1","8410","Parameter Stateless of cmdlet New-AzServiceFabricManagedClusterService does not follow the enforced naming convention of using a singular noun for a parameter name.","Consider using a singular noun for the parameter name."
"Microsoft.Azure.PowerShell.Cmdlets.ServiceFabric.dll","Microsoft.Azure.Commands.ServiceFabric.Commands.NewAzServiceFabricManagedNodeType","New-AzServiceFabricManagedNodeType","1","8410","Parameter IsStateless of cmdlet New-AzServiceFabricManagedNodeType does not follow the enforced naming convention of using a singular noun for a parameter name.","Consider using a singular noun for the parameter name."
