"Module","ClassName","Target","Severity","ProblemId","Description","Remediation"
"Az.Spring","New-AzSpringAppDeploymentBuildResultObject","New-AzSpringAppDeploymentBuildResultObject","1","8100","New-AzSpringAppDeploymentBuildResultObject Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.Spring","New-AzSpringAppDeploymentJarUploadedObject","New-AzSpringAppDeploymentJarUploadedObject","1","8100","New-AzSpringAppDeploymentJarUploadedObject Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.Spring","New-AzSpringAppDeploymentNetCoreZipUploadedObject","New-AzSpringAppDeploymentNetCoreZipUploadedObject","1","8100","New-AzSpringAppDeploymentNetCoreZipUploadedObject Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.Spring","New-AzSpringAppDeploymentSourceUploadedObject","New-AzSpringAppDeploymentSourceUploadedObject","1","8100","New-AzSpringAppDeploymentSourceUploadedObject Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.Spring","New-AzSpringAppLoadedCertificateObject","New-AzSpringAppLoadedCertificateObject","1","8100","New-AzSpringAppLoadedCertificateObject Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.Spring","New-AzSpringBuildpackObject","New-AzSpringBuildpackObject","1","8100","New-AzSpringBuildpackObject Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.Spring","New-AzSpringBuildpacksGroupObject","New-AzSpringBuildpacksGroupObject","1","8100","New-AzSpringBuildpacksGroupObject Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.Spring","New-AzSpringConfigurationServiceGitRepositoryObject","New-AzSpringConfigurationServiceGitRepositoryObject","1","8100","New-AzSpringConfigurationServiceGitRepositoryObject Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.Spring","New-AzSpringContentCertificateObject","New-AzSpringContentCertificateObject","1","8100","New-AzSpringContentCertificateObject Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.Spring","New-AzSpringGitPatternRepositoryObject","New-AzSpringGitPatternRepositoryObject","1","8100","New-AzSpringGitPatternRepositoryObject Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.Spring","New-AzSpringKeyVaultCertificateObject","New-AzSpringKeyVaultCertificateObject","1","8100","New-AzSpringKeyVaultCertificateObject Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
