"Module","ClassName","Target","Severity","ProblemId","Description","Remediation"
"Az.Sql","Microsoft.Azure.Commands.Sql.Server.Cmdlet.NewAzureSqlServer","New-AzSqlServer","0","2000","The cmdlet 'New-AzSqlServer' no longer supports the parameter 'EnableSoftDelete' and no alias was found for the original parameter name.","Add the parameter 'EnableSoftDelete' back to the cmdlet 'New-AzSqlServer', or add an alias to the original parameter name."
"Az.Sql","Microsoft.Azure.Commands.Sql.Server.Cmdlet.NewAzureSqlServer","New-AzSqlServer","0","1050","The parameter set '__AllParameterSets' for cmdlet 'New-AzSqlServer' has been removed.","Add parameter set '__AllParameterSets' back to cmdlet 'New-AzSqlServer'."
"Az.Sql","Microsoft.Azure.Commands.Sql.Server.Cmdlet.SetAzureSqlServer","Set-AzSqlServer","0","2000","The cmdlet 'Set-AzSqlServer' no longer supports the parameter 'EnableSoftDelete' and no alias was found for the original parameter name.","Add the parameter 'EnableSoftDelete' back to the cmdlet 'Set-AzSqlServer', or add an alias to the original parameter name."
"Az.Sql","Microsoft.Azure.Commands.Sql.Server.Cmdlet.SetAzureSqlServer","Set-AzSqlServer","0","1050","The parameter set '__AllParameterSets' for cmdlet 'Set-AzSqlServer' has been removed.","Add parameter set '__AllParameterSets' back to cmdlet 'Set-AzSqlServer'."
"Az.Sql","Microsoft.Azure.Commands.Sql.DataSync.Cmdlet.GetAzureSqlSyncGroup","Get-AzSqlSyncGroup","0","3010","The property 'Identity' of type 'Microsoft.Azure.Commands.Sql.DataSync.Model.AzureSqlSyncGroupModel' has been removed.","Add the property 'Identity' back to type 'Microsoft.Azure.Commands.Sql.DataSync.Model.AzureSqlSyncGroupModel'."
"Az.Sql","Microsoft.Azure.Commands.Sql.DataSync.Cmdlet.GetAzureSqlSyncMember","Get-AzSqlSyncMember","0","3010","The property 'Identity' of type 'Microsoft.Azure.Commands.Sql.DataSync.Model.AzureSqlSyncMemberModel' has been removed.","Add the property 'Identity' back to type 'Microsoft.Azure.Commands.Sql.DataSync.Model.AzureSqlSyncMemberModel'."
"Az.Sql","Microsoft.Azure.Commands.Sql.DataSync.Cmdlet.NewAzureSqlSyncGroup","New-AzSqlSyncGroup","0","3010","The property 'Identity' of type 'Microsoft.Azure.Commands.Sql.DataSync.Model.AzureSqlSyncGroupModel' has been removed.","Add the property 'Identity' back to type 'Microsoft.Azure.Commands.Sql.DataSync.Model.AzureSqlSyncGroupModel'."
"Az.Sql","Microsoft.Azure.Commands.Sql.DataSync.Cmdlet.NewAzureSqlSyncGroup","New-AzSqlSyncGroup","0","2000","The cmdlet 'New-AzSqlSyncGroup' no longer supports the parameter 'HubDatabaseAuthenticationType' and no alias was found for the original parameter name.","Add the parameter 'HubDatabaseAuthenticationType' back to the cmdlet 'New-AzSqlSyncGroup', or add an alias to the original parameter name."
"Az.Sql","Microsoft.Azure.Commands.Sql.DataSync.Cmdlet.NewAzureSqlSyncGroup","New-AzSqlSyncGroup","0","2000","The cmdlet 'New-AzSqlSyncGroup' no longer supports the parameter 'ResourceId' and no alias was found for the original parameter name.","Add the parameter 'ResourceId' back to the cmdlet 'New-AzSqlSyncGroup', or add an alias to the original parameter name."
"Az.Sql","Microsoft.Azure.Commands.Sql.DataSync.Cmdlet.NewAzureSqlSyncGroup","New-AzSqlSyncGroup","0","1050","The parameter set '__AllParameterSets' for cmdlet 'New-AzSqlSyncGroup' has been removed.","Add parameter set '__AllParameterSets' back to cmdlet 'New-AzSqlSyncGroup'."
"Az.Sql","Microsoft.Azure.Commands.Sql.DataSync.Cmdlet.NewAzureSqlSyncMember","New-AzSqlSyncMember","0","3010","The property 'Identity' of type 'Microsoft.Azure.Commands.Sql.DataSync.Model.AzureSqlSyncMemberModel' has been removed.","Add the property 'Identity' back to type 'Microsoft.Azure.Commands.Sql.DataSync.Model.AzureSqlSyncMemberModel'."
"Az.Sql","Microsoft.Azure.Commands.Sql.DataSync.Cmdlet.NewAzureSqlSyncMember","New-AzSqlSyncMember","0","2000","The cmdlet 'New-AzSqlSyncMember' no longer supports the parameter 'MemberDatabaseAuthenticationType' and no alias was found for the original parameter name.","Add the parameter 'MemberDatabaseAuthenticationType' back to the cmdlet 'New-AzSqlSyncMember', or add an alias to the original parameter name."
"Az.Sql","Microsoft.Azure.Commands.Sql.DataSync.Cmdlet.NewAzureSqlSyncMember","New-AzSqlSyncMember","0","2000","The cmdlet 'New-AzSqlSyncMember' no longer supports the parameter 'ResourceId' and no alias was found for the original parameter name.","Add the parameter 'ResourceId' back to the cmdlet 'New-AzSqlSyncMember', or add an alias to the original parameter name."
"Az.Sql","Microsoft.Azure.Commands.Sql.DataSync.Cmdlet.NewAzureSqlSyncMember","New-AzSqlSyncMember","0","1050","The parameter set '__AllParameterSets' for cmdlet 'New-AzSqlSyncMember' has been removed.","Add parameter set '__AllParameterSets' back to cmdlet 'New-AzSqlSyncMember'."
"Az.Sql","Microsoft.Azure.Commands.Sql.DataSync.Cmdlet.NewAzureSqlSyncMember","New-AzSqlSyncMember","0","1050","The parameter set 'AzureSqlDatabase' for cmdlet 'New-AzSqlSyncMember' has been removed.","Add parameter set 'AzureSqlDatabase' back to cmdlet 'New-AzSqlSyncMember'."
"Az.Sql","Microsoft.Azure.Commands.Sql.DataSync.Cmdlet.NewAzureSqlSyncMember","New-AzSqlSyncMember","0","1050","The parameter set 'OnPremisesDatabaseSyncAgentComponent' for cmdlet 'New-AzSqlSyncMember' has been removed.","Add parameter set 'OnPremisesDatabaseSyncAgentComponent' back to cmdlet 'New-AzSqlSyncMember'."
"Az.Sql","Microsoft.Azure.Commands.Sql.DataSync.Cmdlet.NewAzureSqlSyncMember","New-AzSqlSyncMember","0","1050","The parameter set 'OnPremisesDatabaseSyncAgentResourceID' for cmdlet 'New-AzSqlSyncMember' has been removed.","Add parameter set 'OnPremisesDatabaseSyncAgentResourceID' back to cmdlet 'New-AzSqlSyncMember'."
"Az.Sql","Microsoft.Azure.Commands.Sql.DataSync.Cmdlet.RemoveAzureSqlSyncGroup","Remove-AzSqlSyncGroup","0","3010","The property 'Identity' of type 'Microsoft.Azure.Commands.Sql.DataSync.Model.AzureSqlSyncGroupModel' has been removed.","Add the property 'Identity' back to type 'Microsoft.Azure.Commands.Sql.DataSync.Model.AzureSqlSyncGroupModel'."
"Az.Sql","Microsoft.Azure.Commands.Sql.DataSync.Cmdlet.RemoveAzureSqlSyncMember","Remove-AzSqlSyncMember","0","3010","The property 'Identity' of type 'Microsoft.Azure.Commands.Sql.DataSync.Model.AzureSqlSyncMemberModel' has been removed.","Add the property 'Identity' back to type 'Microsoft.Azure.Commands.Sql.DataSync.Model.AzureSqlSyncMemberModel'."
"Az.Sql","Microsoft.Azure.Commands.Sql.DataSync.Cmdlet.StartAzureRmSqlSyncGroupSync","Start-AzSqlSyncGroupSync","0","3010","The property 'Identity' of type 'Microsoft.Azure.Commands.Sql.DataSync.Model.AzureSqlSyncGroupModel' has been removed.","Add the property 'Identity' back to type 'Microsoft.Azure.Commands.Sql.DataSync.Model.AzureSqlSyncGroupModel'."
"Az.Sql","Microsoft.Azure.Commands.Sql.DataSync.Cmdlet.StopAzureRmSqlSyncGroupSync","Stop-AzSqlSyncGroupSync","0","3010","The property 'Identity' of type 'Microsoft.Azure.Commands.Sql.DataSync.Model.AzureSqlSyncGroupModel' has been removed.","Add the property 'Identity' back to type 'Microsoft.Azure.Commands.Sql.DataSync.Model.AzureSqlSyncGroupModel'."
"Az.Sql","Microsoft.Azure.Commands.Sql.DataSync.Cmdlet.UpdateAzureSqlSyncGroup","Update-AzSqlSyncGroup","0","3010","The property 'Identity' of type 'Microsoft.Azure.Commands.Sql.DataSync.Model.AzureSqlSyncGroupModel' has been removed.","Add the property 'Identity' back to type 'Microsoft.Azure.Commands.Sql.DataSync.Model.AzureSqlSyncGroupModel'."
"Az.Sql","Microsoft.Azure.Commands.Sql.DataSync.Cmdlet.UpdateAzureSqlSyncGroup","Update-AzSqlSyncGroup","0","2000","The cmdlet 'Update-AzSqlSyncGroup' no longer supports the parameter 'HubDatabaseAuthenticationType' and no alias was found for the original parameter name.","Add the parameter 'HubDatabaseAuthenticationType' back to the cmdlet 'Update-AzSqlSyncGroup', or add an alias to the original parameter name."
"Az.Sql","Microsoft.Azure.Commands.Sql.DataSync.Cmdlet.UpdateAzureSqlSyncGroup","Update-AzSqlSyncGroup","0","2000","The cmdlet 'Update-AzSqlSyncGroup' no longer supports the parameter 'ResourceId' and no alias was found for the original parameter name.","Add the parameter 'ResourceId' back to the cmdlet 'Update-AzSqlSyncGroup', or add an alias to the original parameter name."
"Az.Sql","Microsoft.Azure.Commands.Sql.DataSync.Cmdlet.UpdateAzureSqlSyncGroup","Update-AzSqlSyncGroup","0","2000","The cmdlet 'Update-AzSqlSyncGroup' no longer supports the parameter 'RemoveIdentityResourceId' and no alias was found for the original parameter name.","Add the parameter 'RemoveIdentityResourceId' back to the cmdlet 'Update-AzSqlSyncGroup', or add an alias to the original parameter name."
"Az.Sql","Microsoft.Azure.Commands.Sql.DataSync.Cmdlet.UpdateAzureSqlSyncGroup","Update-AzSqlSyncGroup","0","1050","The parameter set '__AllParameterSets' for cmdlet 'Update-AzSqlSyncGroup' has been removed.","Add parameter set '__AllParameterSets' back to cmdlet 'Update-AzSqlSyncGroup'."
"Az.Sql","Microsoft.Azure.Commands.Sql.DataSync.Cmdlet.UpdateAzureSqlSyncMember","Update-AzSqlSyncMember","0","3010","The property 'Identity' of type 'Microsoft.Azure.Commands.Sql.DataSync.Model.AzureSqlSyncMemberModel' has been removed.","Add the property 'Identity' back to type 'Microsoft.Azure.Commands.Sql.DataSync.Model.AzureSqlSyncMemberModel'."
"Az.Sql","Microsoft.Azure.Commands.Sql.DataSync.Cmdlet.UpdateAzureSqlSyncMember","Update-AzSqlSyncMember","0","2000","The cmdlet 'Update-AzSqlSyncMember' no longer supports the parameter 'MemberDatabaseAuthenticationType' and no alias was found for the original parameter name.","Add the parameter 'MemberDatabaseAuthenticationType' back to the cmdlet 'Update-AzSqlSyncMember', or add an alias to the original parameter name."
"Az.Sql","Microsoft.Azure.Commands.Sql.DataSync.Cmdlet.UpdateAzureSqlSyncMember","Update-AzSqlSyncMember","0","2000","The cmdlet 'Update-AzSqlSyncMember' no longer supports the parameter 'ResourceId' and no alias was found for the original parameter name.","Add the parameter 'ResourceId' back to the cmdlet 'Update-AzSqlSyncMember', or add an alias to the original parameter name."
"Az.Sql","Microsoft.Azure.Commands.Sql.DataSync.Cmdlet.UpdateAzureSqlSyncMember","Update-AzSqlSyncMember","0","2000","The cmdlet 'Update-AzSqlSyncMember' no longer supports the parameter 'RemoveIdentityResourceId' and no alias was found for the original parameter name.","Add the parameter 'RemoveIdentityResourceId' back to the cmdlet 'Update-AzSqlSyncMember', or add an alias to the original parameter name."
"Az.Sql","Microsoft.Azure.Commands.Sql.DataSync.Cmdlet.UpdateAzureSqlSyncMember","Update-AzSqlSyncMember","0","1050","The parameter set '__AllParameterSets' for cmdlet 'Update-AzSqlSyncMember' has been removed.","Add parameter set '__AllParameterSets' back to cmdlet 'Update-AzSqlSyncMember'."
