"Module","Cmdlet","Example","Line","RuleName","ProblemId","Severity","Description","Extent","Remediation"
"Az.SqlVirtualMachine","Assert-AzSqlVMEntraAuth","2","1","Invalid_Parameter_Name","5011","1","Assert-AzSqlVMEntraAuth -UserAssignedIdentity is not a valid parameter name.","-UserAssignedIdentity","Check validity of the parameter -UserAssignedIdentity."
"Az.SqlVirtualMachine","Assert-AzSqlVMEntraAuth","4","2","Invalid_Parameter_Name","5011","1","Assert-AzSqlVMEntraAuth -UserAssignedIdentity is not a valid parameter name.","-UserAssignedIdentity","Check validity of the parameter -UserAssignedIdentity."
"Az.SqlVirtualMachine","New-AzAvailabilityGroupListener","2","1","Invalid_Cmdlet","5000","1","New-AzSqlVirtualMachineMultiSubnetIPConfigurationObject is not a valid command name.","New-AzSqlVirtualMachineMultiSubnetIPConfigurationObject -PrivateIPAddressSubnetResourceId $SubnetResourceId1 -PrivateIPAddressIpaddress '192.168.16.9' -SqlVirtualMachineInstance $sqlvmResourceId1","Check the spell of New-AzSqlVirtualMachineMultiSubnetIPConfigurationObject."
"Az.SqlVirtualMachine","New-AzAvailabilityGroupListener","2","2","Invalid_Cmdlet","5000","1","New-AzSqlVirtualMachineMultiSubnetIPConfigurationObject is not a valid command name.","New-AzSqlVirtualMachineMultiSubnetIPConfigurationObject -PrivateIPAddressSubnetResourceId $SubnetResourceId2 -PrivateIPAddressIpaddress '192.168.17.9' -SqlVirtualMachineInstance $sqlvmResourceId2","Check the spell of New-AzSqlVirtualMachineMultiSubnetIPConfigurationObject."
"Az.SqlVirtualMachine","New-AzSqlVMGroup","1","3","Invalid_Parameter_Name","5011","1","New-AzSqlVMGroup -ClusterOperatorAccount is not a valid parameter name.","-ClusterOperatorAccount","Check validity of the parameter -ClusterOperatorAccount."
"Az.SqlVirtualMachine","New-AzSqlVMGroup","1","3","Invalid_Parameter_Name","5011","1","New-AzSqlVMGroup -SqlServiceAccount is not a valid parameter name.","-SqlServiceAccount","Check validity of the parameter -SqlServiceAccount."
"Az.SqlVirtualMachine","Update-AzSqlVM","12","1","Invalid_Parameter_Name","5011","1","Update-AzSqlVM -UserAssignedIdentity is not a valid parameter name.","-UserAssignedIdentity","Check validity of the parameter -UserAssignedIdentity."
"Az.SqlVirtualMachine","Assert-AzSqlVMEntraAuth","2","1","Invalid_Parameter_Name","5011","1","Assert-AzSqlVMEntraAuth -UserAssignedIdentity is not a valid parameter name.","-UserAssignedIdentity","Check validity of the parameter -UserAssignedIdentity."
"Az.SqlVirtualMachine","Assert-AzSqlVMEntraAuth","4","2","Invalid_Parameter_Name","5011","1","Assert-AzSqlVMEntraAuth -UserAssignedIdentity is not a valid parameter name.","-UserAssignedIdentity","Check validity of the parameter -UserAssignedIdentity."
"Az.SqlVirtualMachine","New-AzAvailabilityGroupListener","2","1","Invalid_Cmdlet","5000","1","New-AzSqlVirtualMachineMultiSubnetIPConfigurationObject is not a valid command name.","New-AzSqlVirtualMachineMultiSubnetIPConfigurationObject -PrivateIPAddressSubnetResourceId $SubnetResourceId1 -PrivateIPAddressIpaddress '192.168.16.9' -SqlVirtualMachineInstance $sqlvmResourceId1","Check the spell of New-AzSqlVirtualMachineMultiSubnetIPConfigurationObject."
"Az.SqlVirtualMachine","New-AzAvailabilityGroupListener","2","2","Invalid_Cmdlet","5000","1","New-AzSqlVirtualMachineMultiSubnetIPConfigurationObject is not a valid command name.","New-AzSqlVirtualMachineMultiSubnetIPConfigurationObject -PrivateIPAddressSubnetResourceId $SubnetResourceId2 -PrivateIPAddressIpaddress '192.168.17.9' -SqlVirtualMachineInstance $sqlvmResourceId2","Check the spell of New-AzSqlVirtualMachineMultiSubnetIPConfigurationObject."
"Az.SqlVirtualMachine","New-AzSqlVMGroup","1","3","Invalid_Parameter_Name","5011","1","New-AzSqlVMGroup -ClusterOperatorAccount is not a valid parameter name.","-ClusterOperatorAccount","Check validity of the parameter -ClusterOperatorAccount."
"Az.SqlVirtualMachine","New-AzSqlVMGroup","1","3","Invalid_Parameter_Name","5011","1","New-AzSqlVMGroup -SqlServiceAccount is not a valid parameter name.","-SqlServiceAccount","Check validity of the parameter -SqlServiceAccount."
"Az.SqlVirtualMachine","Update-AzSqlVM","12","1","Invalid_Parameter_Name","5011","1","Update-AzSqlVM -UserAssignedIdentity is not a valid parameter name.","-UserAssignedIdentity","Check validity of the parameter -UserAssignedIdentity."
