"Module","ClassName","Target","Severity","ProblemId","Description","Remediation"
"Az.StreamAnalytics","Get-AzStreamAnalyticsCluster","Get-AzStreamAnalyticsCluster","0","3000","The type of property 'ProvisioningState' of type 'Microsoft.Azure.PowerShell.Cmdlets.StreamAnalytics.Models.Api20200301Preview.ICluster' has changed from 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.StreamAnalytics.Support.ClusterProvisioningState]' to 'System.String'.","Change the type of property 'ProvisioningState' back to 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.StreamAnalytics.Support.ClusterProvisioningState]'."
"Az.StreamAnalytics","Get-AzStreamAnalyticsCluster","Get-AzStreamAnalyticsCluster","0","3000","The type of property 'SkuName' of type 'Microsoft.Azure.PowerShell.Cmdlets.StreamAnalytics.Models.Api20200301Preview.ICluster' has changed from 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.StreamAnalytics.Support.ClusterSkuName]' to 'System.String'.","Change the type of property 'SkuName' back to 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.StreamAnalytics.Support.ClusterSkuName]'."
"Az.StreamAnalytics","Get-AzStreamAnalyticsClusterStreamingJob","Get-AzStreamAnalyticsClusterStreamingJob","0","3000","The type of property 'JobState' of type 'Microsoft.Azure.PowerShell.Cmdlets.StreamAnalytics.Models.Api20200301Preview.IClusterJob' has changed from 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.StreamAnalytics.Support.JobState]' to 'System.String'.","Change the type of property 'JobState' back to 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.StreamAnalytics.Support.JobState]'."
"Az.StreamAnalytics","Get-AzStreamAnalyticsDefaultFunctionDefinition","Get-AzStreamAnalyticsDefaultFunctionDefinition","0","3000","The type of property 'Input' of type 'Microsoft.Azure.PowerShell.Cmdlets.StreamAnalytics.Models.Api20170401Preview.IFunctionConfiguration' has changed from 'Microsoft.Azure.PowerShell.Cmdlets.StreamAnalytics.Models.IFunctionInput' to 'System.Collections.Generic.List`1[Microsoft.Azure.PowerShell.Cmdlets.StreamAnalytics.Models.IFunctionInput]'.","Change the type of property 'Input' back to 'Microsoft.Azure.PowerShell.Cmdlets.StreamAnalytics.Models.IFunctionInput'."
"Az.StreamAnalytics","Get-AzStreamAnalyticsInput","Get-AzStreamAnalyticsInput","0","3000","The type of property 'Condition' of type 'Microsoft.Azure.PowerShell.Cmdlets.StreamAnalytics.Models.Api20170401Preview.IDiagnostics' has changed from 'Microsoft.Azure.PowerShell.Cmdlets.StreamAnalytics.Models.IDiagnosticCondition' to 'System.Collections.Generic.List`1[Microsoft.Azure.PowerShell.Cmdlets.StreamAnalytics.Models.IDiagnosticCondition]'.","Change the type of property 'Condition' back to 'Microsoft.Azure.PowerShell.Cmdlets.StreamAnalytics.Models.IDiagnosticCondition'."
"Az.StreamAnalytics","Get-AzStreamAnalyticsInput","Get-AzStreamAnalyticsInput","0","3000","The type of property 'Type' of type 'Microsoft.Azure.PowerShell.Cmdlets.StreamAnalytics.Models.Api20170401Preview.ISerialization' has changed from 'Microsoft.Azure.PowerShell.Cmdlets.StreamAnalytics.Support.EventSerializationType' to 'System.String'.","Change the type of property 'Type' back to 'Microsoft.Azure.PowerShell.Cmdlets.StreamAnalytics.Support.EventSerializationType'."
"Az.StreamAnalytics","Get-AzStreamAnalyticsJob","Get-AzStreamAnalyticsJob","0","3000","The type of property 'Function' of type 'Microsoft.Azure.PowerShell.Cmdlets.StreamAnalytics.Models.Api20170401Preview.IStreamingJob' has changed from 'Microsoft.Azure.PowerShell.Cmdlets.StreamAnalytics.Models.IFunction' to 'System.Collections.Generic.List`1[Microsoft.Azure.PowerShell.Cmdlets.StreamAnalytics.Models.IFunction]'.","Change the type of property 'Function' back to 'Microsoft.Azure.PowerShell.Cmdlets.StreamAnalytics.Models.IFunction'."
"Az.StreamAnalytics","Get-AzStreamAnalyticsJob","Get-AzStreamAnalyticsJob","0","3000","The type of property 'Input' of type 'Microsoft.Azure.PowerShell.Cmdlets.StreamAnalytics.Models.Api20170401Preview.IStreamingJob' has changed from 'Microsoft.Azure.PowerShell.Cmdlets.StreamAnalytics.Models.IInput' to 'System.Collections.Generic.List`1[Microsoft.Azure.PowerShell.Cmdlets.StreamAnalytics.Models.IInput]'.","Change the type of property 'Input' back to 'Microsoft.Azure.PowerShell.Cmdlets.StreamAnalytics.Models.IInput'."
"Az.StreamAnalytics","Get-AzStreamAnalyticsJob","Get-AzStreamAnalyticsJob","0","3000","The type of property 'Output' of type 'Microsoft.Azure.PowerShell.Cmdlets.StreamAnalytics.Models.Api20170401Preview.IStreamingJob' has changed from 'Microsoft.Azure.PowerShell.Cmdlets.StreamAnalytics.Models.IOutput' to 'System.Collections.Generic.List`1[Microsoft.Azure.PowerShell.Cmdlets.StreamAnalytics.Models.IOutput]'.","Change the type of property 'Output' back to 'Microsoft.Azure.PowerShell.Cmdlets.StreamAnalytics.Models.IOutput'."
"Az.StreamAnalytics","Get-AzStreamAnalyticsJob","Get-AzStreamAnalyticsJob","0","3000","The type of property 'JobStorageAccountAuthenticationMode' of type 'Microsoft.Azure.PowerShell.Cmdlets.StreamAnalytics.Models.Api20170401Preview.IStreamingJob' has changed from 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.StreamAnalytics.Support.AuthenticationMode]' to 'System.String'.","Change the type of property 'JobStorageAccountAuthenticationMode' back to 'System.Nullable`1[Microsoft.Azure.PowerShell.Cmdlets.StreamAnalytics.Support.AuthenticationMode]'."
