"Module","ClassName","Target","Severity","ProblemId","Description","Remediation"
"Az.Support","Microsoft.Azure.Commands.Support.ProblemClassifications.GetAzSupportProblemClassification","Get-AzSupportProblemClassification","0","1060","The parameter set 'GetByNameParameterSet' for cmdlet 'Get-AzSupportProblemClassification' is no longer the default parameter set.","Change the default parameter for cmdlet 'Get-AzSupportProblemClassification' back to 'GetByNameParameterSet'."
"Az.Support","Microsoft.Azure.Commands.Support.ProblemClassifications.GetAzSupportProblemClassification","Get-AzSupportProblemClassification","0","1060","The parameter set 'GetByNameParameterSet' for cmdlet 'Get-AzSupportProblemClassification' is no longer the default parameter set.","Change the default parameter for cmdlet 'Get-AzSupportProblemClassification' back to 'GetByNameParameterSet'."
"Az.Support","Microsoft.Azure.Commands.Support.ProblemClassifications.GetAzSupportProblemClassification","Get-AzSupportProblemClassification","0","2000","The cmdlet 'Get-AzSupportProblemClassification' no longer supports the parameter 'ServiceId' and no alias was found for the original parameter name.","Add the parameter 'ServiceId' back to the cmdlet 'Get-AzSupportProblemClassification', or add an alias to the original parameter name."
"Az.Support","Microsoft.Azure.Commands.Support.ProblemClassifications.GetAzSupportProblemClassification","Get-AzSupportProblemClassification","0","2000","The cmdlet 'Get-AzSupportProblemClassification' no longer supports the parameter 'Id' and no alias was found for the original parameter name.","Add the parameter 'Id' back to the cmdlet 'Get-AzSupportProblemClassification', or add an alias to the original parameter name."
"Az.Support","Microsoft.Azure.Commands.Support.ProblemClassifications.GetAzSupportProblemClassification","Get-AzSupportProblemClassification","0","2000","The cmdlet 'Get-AzSupportProblemClassification' no longer supports the parameter 'ServiceObject' and no alias was found for the original parameter name.","Add the parameter 'ServiceObject' back to the cmdlet 'Get-AzSupportProblemClassification', or add an alias to the original parameter name."
"Az.Support","Microsoft.Azure.Commands.Support.ProblemClassifications.GetAzSupportProblemClassification","Get-AzSupportProblemClassification","0","2020","The cmdlet 'Get-AzSupportProblemClassification' no longer supports the type 'Microsoft.Azure.Commands.Common.Authentication.Abstractions.Core.IAzureContextContainer' for parameter 'DefaultProfile'.","Change the type for parameter 'DefaultProfile' back to 'Microsoft.Azure.Commands.Common.Authentication.Abstractions.Core.IAzureContextContainer'."
"Az.Support","Microsoft.Azure.Commands.Support.ProblemClassifications.GetAzSupportProblemClassification","Get-AzSupportProblemClassification","0","2010","The cmdlet 'Get-AzSupportProblemClassification' no longer supports the alias 'AzContext' for parameter 'DefaultProfile'.","Add the alias 'AzContext' back to parameter 'DefaultProfile'."
"Az.Support","Microsoft.Azure.Commands.Support.ProblemClassifications.GetAzSupportProblemClassification","Get-AzSupportProblemClassification","0","2010","The cmdlet 'Get-AzSupportProblemClassification' no longer supports the alias 'AzureRmContext' for parameter 'DefaultProfile'.","Add the alias 'AzureRmContext' back to parameter 'DefaultProfile'."
"Az.Support","Microsoft.Azure.Commands.Support.ProblemClassifications.GetAzSupportProblemClassification","Get-AzSupportProblemClassification","0","1050","The parameter set 'GetByNameParameterSet' for cmdlet 'Get-AzSupportProblemClassification' has been removed.","Add parameter set 'GetByNameParameterSet' back to cmdlet 'Get-AzSupportProblemClassification'."
"Az.Support","Microsoft.Azure.Commands.Support.ProblemClassifications.GetAzSupportProblemClassification","Get-AzSupportProblemClassification","0","1050","The parameter set 'GetByParentObjectParameterSet' for cmdlet 'Get-AzSupportProblemClassification' has been removed.","Add parameter set 'GetByParentObjectParameterSet' back to cmdlet 'Get-AzSupportProblemClassification'."
