"Module","ClassName","Target","Severity","ProblemId","Description","Remediation"
"Az.Websites","Microsoft.Azure.Commands.WebApps.Cmdlets.WebApps.EditAzureWebAppBackupConfiguration","Edit-AzWebAppBackupConfiguration","0","3000","The type of property 'IsPushEnabled' of type 'Microsoft.Azure.Management.WebSites.Models.PushSettings' has changed from 'System.Boolean' to 'System.Nullable`1[System.Boolean]'.","Change the type of property 'IsPushEnabled' back to 'System.Boolean'."
"Az.Websites","Microsoft.Azure.Commands.WebApps.Cmdlets.WebApps.EditAzureWebAppBackupConfiguration","Edit-AzWebAppBackupConfiguration","0","3030","The generic type for 'property VnetInfo' has been changed from 'System.Collections.Generic.IList`1[Microsoft.Azure.Management.WebSites.Models.VnetInfo]' to 'System.Collections.Generic.IList`1[Microsoft.Azure.Management.WebSites.Models.VnetInfoResource]'. ","Change the generic type for 'property VnetInfo' back to 'System.Collections.Generic.IList`1[Microsoft.Azure.Management.WebSites.Models.VnetInfo]'."
"Az.Websites","Microsoft.Azure.Commands.WebApps.Cmdlets.WebApps.GetAzureWebAppCmdlet","Get-AzWebApp","0","3030","The generic type for 'property VnetInfo' has been changed from 'System.Collections.Generic.IList`1[Microsoft.Azure.Management.WebSites.Models.VnetInfo]' to 'System.Collections.Generic.IList`1[Microsoft.Azure.Management.WebSites.Models.VnetInfoResource]'. ","Change the generic type for 'property VnetInfo' back to 'System.Collections.Generic.IList`1[Microsoft.Azure.Management.WebSites.Models.VnetInfo]'."
"Az.Websites","Microsoft.Azure.Commands.WebApps.Cmdlets.WebApps.GetAzureWebAppBackupCmdlet","Get-AzWebAppBackup","0","3030","The generic type for 'property VnetInfo' has been changed from 'System.Collections.Generic.IList`1[Microsoft.Azure.Management.WebSites.Models.VnetInfo]' to 'System.Collections.Generic.IList`1[Microsoft.Azure.Management.WebSites.Models.VnetInfoResource]'. ","Change the generic type for 'property VnetInfo' back to 'System.Collections.Generic.IList`1[Microsoft.Azure.Management.WebSites.Models.VnetInfo]'."
"Az.Websites","Microsoft.Azure.Commands.WebApps.Cmdlets.WebApps.GetAzureWebAppBackupConfiguration","Get-AzWebAppBackupConfiguration","0","3030","The generic type for 'property VnetInfo' has been changed from 'System.Collections.Generic.IList`1[Microsoft.Azure.Management.WebSites.Models.VnetInfo]' to 'System.Collections.Generic.IList`1[Microsoft.Azure.Management.WebSites.Models.VnetInfoResource]'. ","Change the generic type for 'property VnetInfo' back to 'System.Collections.Generic.IList`1[Microsoft.Azure.Management.WebSites.Models.VnetInfo]'."
"Az.Websites","Microsoft.Azure.Commands.WebApps.Cmdlets.WebApps.GetAzureWebAppBackupList","Get-AzWebAppBackupList","0","3030","The generic type for 'property VnetInfo' has been changed from 'System.Collections.Generic.IList`1[Microsoft.Azure.Management.WebSites.Models.VnetInfo]' to 'System.Collections.Generic.IList`1[Microsoft.Azure.Management.WebSites.Models.VnetInfoResource]'. ","Change the generic type for 'property VnetInfo' back to 'System.Collections.Generic.IList`1[Microsoft.Azure.Management.WebSites.Models.VnetInfo]'."
"Az.Websites","Microsoft.Azure.Commands.WebApps.Cmdlets.WebApps.GetAzureRMWebAppContainerContinuousDeploymentUrl","Get-AzWebAppContainerContinuousDeploymentUrl","0","3030","The generic type for 'property VnetInfo' has been changed from 'System.Collections.Generic.IList`1[Microsoft.Azure.Management.WebSites.Models.VnetInfo]' to 'System.Collections.Generic.IList`1[Microsoft.Azure.Management.WebSites.Models.VnetInfoResource]'. ","Change the generic type for 'property VnetInfo' back to 'System.Collections.Generic.IList`1[Microsoft.Azure.Management.WebSites.Models.VnetInfo]'."
"Az.Websites","Microsoft.Azure.Commands.WebApps.Cmdlets.WebApps.GetAzureWebAppPublishingProfileCmdlet","Get-AzWebAppPublishingProfile","0","3030","The generic type for 'property VnetInfo' has been changed from 'System.Collections.Generic.IList`1[Microsoft.Azure.Management.WebSites.Models.VnetInfo]' to 'System.Collections.Generic.IList`1[Microsoft.Azure.Management.WebSites.Models.VnetInfoResource]'. ","Change the generic type for 'property VnetInfo' back to 'System.Collections.Generic.IList`1[Microsoft.Azure.Management.WebSites.Models.VnetInfo]'."
"Az.Websites","Microsoft.Azure.Commands.WebApps.Cmdlets.DeploymentSlots.GetAzureWebAppSlotCmdlet","Get-AzWebAppSlot","0","3030","The generic type for 'property VnetInfo' has been changed from 'System.Collections.Generic.IList`1[Microsoft.Azure.Management.WebSites.Models.VnetInfo]' to 'System.Collections.Generic.IList`1[Microsoft.Azure.Management.WebSites.Models.VnetInfoResource]'. ","Change the generic type for 'property VnetInfo' back to 'System.Collections.Generic.IList`1[Microsoft.Azure.Management.WebSites.Models.VnetInfo]'."
"Az.Websites","Microsoft.Azure.Commands.WebApps.Cmdlets.DeploymentSlots.GetAzureWebAppSlotCmdlet","Get-AzWebAppSlot","0","3030","The generic type for 'property VnetInfo' has been changed from 'System.Collections.Generic.IList`1[Microsoft.Azure.Management.WebSites.Models.VnetInfo]' to 'System.Collections.Generic.IList`1[Microsoft.Azure.Management.WebSites.Models.VnetInfoResource]'. ","Change the generic type for 'property VnetInfo' back to 'System.Collections.Generic.IList`1[Microsoft.Azure.Management.WebSites.Models.VnetInfo]'."
