"AssemblyFileName","ClassName","Target","Severity","ProblemId","Description","Remediation"
"C:\azure-powershell\src\Package\Debug\ResourceManager\AzureResourceManager\AzureRM.EventHub\Microsoft.Azure.Commands.EventHub.dll","Microsoft.Azure.Commands.EventHub.Commands.NewAzureEventhubAuthorizationRules","New-AzureRmEventHubAuthorizationRule","1","8410","Parameter Rights of cmdlet New-AzureRmEventHubAuthorizationRule does not follow the enforced naming convention of using a singular noun for a parameter name.","Consider using a singular noun for the parameter name."
"C:\azure-powershell\src\Package\Debug\ResourceManager\AzureResourceManager\AzureRM.EventHub\Microsoft.Azure.Commands.EventHub.dll","Microsoft.Azure.Commands.EventHub.Commands.NewAzureEventhubKey","New-AzureRmEventHubKey","1","8420","Parameter set '__AllParameterSets' of cmdlet 'New-AzureRmEventHubKey' contains at least one parameter with a position larger than four, which is discouraged.","Limit the number of positional parameters in a single parameter set to four or fewer."
"C:\azure-powershell\src\Package\Debug\ResourceManager\AzureResourceManager\AzureRM.EventHub\Microsoft.Azure.Commands.EventHub.dll","Microsoft.Azure.Commands.EventHub.Commands.NewAzureEventhubKey","New-AzureRmEventHubKey","1","8420","Parameter set 'NamespaceAuthorizationRuleSet' of cmdlet 'New-AzureRmEventHubKey' contains at least one parameter with a position larger than four, which is discouraged.","Limit the number of positional parameters in a single parameter set to four or fewer."
"C:\azure-powershell\src\Package\Debug\ResourceManager\AzureResourceManager\AzureRM.EventHub\Microsoft.Azure.Commands.EventHub.dll","Microsoft.Azure.Commands.EventHub.Commands.NewAzureEventhubKey","New-AzureRmEventHubKey","1","8420","Parameter set 'EventhubAuthorizationRuleSet' of cmdlet 'New-AzureRmEventHubKey' contains at least one parameter with a position larger than four, which is discouraged.","Limit the number of positional parameters in a single parameter set to four or fewer."
"C:\azure-powershell\src\Package\Debug\ResourceManager\AzureResourceManager\AzureRM.EventHub\Microsoft.Azure.Commands.EventHub.dll","Microsoft.Azure.Commands.EventHub.Commands.SetAzureEventhubAuthorizationRules","Set-AzureRmEventHubAuthorizationRule","1","8410","Parameter Rights of cmdlet Set-AzureRmEventHubAuthorizationRule does not follow the enforced naming convention of using a singular noun for a parameter name.","Consider using a singular noun for the parameter name."
"C:\azure-powershell\src\Package\Debug\ResourceManager\AzureResourceManager\AzureRM.EventHub\Microsoft.Azure.Commands.EventHub.dll","Microsoft.Azure.Commands.EventHub.Commands.SetAzureEventhubAuthorizationRules","Set-AzureRmEventHubAuthorizationRule","1","8420","Parameter set 'NamespaceAuthorizationRuleSet' of cmdlet 'Set-AzureRmEventHubAuthorizationRule' contains at least one parameter with a position larger than four, which is discouraged.","Limit the number of positional parameters in a single parameter set to four or fewer."
"C:\azure-powershell\src\Package\Debug\ResourceManager\AzureResourceManager\AzureRM.EventHub\Microsoft.Azure.Commands.EventHub.dll","Microsoft.Azure.Commands.EventHub.Commands.SetAzureEventhubAuthorizationRules","Set-AzureRmEventHubAuthorizationRule","1","8420","Parameter set 'EventhubAuthorizationRuleSet' of cmdlet 'Set-AzureRmEventHubAuthorizationRule' contains at least one parameter with a position larger than four, which is discouraged.","Limit the number of positional parameters in a single parameter set to four or fewer."
"C:\azure-powershell\src\Package\Debug\ResourceManager\AzureResourceManager\AzureRM.EventHub\Microsoft.Azure.Commands.EventHub.dll","Microsoft.Azure.Commands.EventHub.Commands.SetAzureEventhubAuthorizationRules","Set-AzureRmEventHubAuthorizationRule","1","8420","Parameter set 'AuthoRuleInputObjectSet' of cmdlet 'Set-AzureRmEventHubAuthorizationRule' contains at least one parameter with a position larger than four, which is discouraged.","Limit the number of positional parameters in a single parameter set to four or fewer."
"C:\azure-powershell\src\Package\Debug\ResourceManager\AzureResourceManager\AzureRM.EventHub\Microsoft.Azure.Commands.EventHub.dll","Microsoft.Azure.Commands.EventHub.Commands.EventHub.NewAzureRmEventHub","New-AzureRmEventHub","1","8510","Cmdlet 'New-AzureRmEventHub' has multiple parameter sets, but no defined default parameter set.","Define a default parameter set in the cmdlet attribute."
"C:\azure-powershell\src\Package\Debug\ResourceManager\AzureResourceManager\AzureRM.EventHub\Microsoft.Azure.Commands.EventHub.dll","Microsoft.Azure.Commands.EventHub.Commands.EventHub.RemoveAzureEventHub","Remove-AzureRmEventHub","1","8600","Cmdlet 'Remove-AzureRmEventHub' has no defined output type.","Add an OutputType attribute that declares the type of the object(s) returned by this cmdlet. If this cmdlet returns no output, please set the output type to 'bool' and make sure to implement the 'PassThru' parameter."
"C:\azure-powershell\src\Package\Debug\ResourceManager\AzureResourceManager\AzureRM.EventHub\Microsoft.Azure.Commands.EventHub.dll","Microsoft.Azure.Commands.EventHub.Commands.EventHub.SetAzureEventHub","Set-AzureRmEventHub","1","8510","Cmdlet 'Set-AzureRmEventHub' has multiple parameter sets, but no defined default parameter set.","Define a default parameter set in the cmdlet attribute."
"C:\azure-powershell\src\Package\Debug\ResourceManager\AzureResourceManager\AzureRM.EventHub\Microsoft.Azure.Commands.EventHub.dll","Microsoft.Azure.Commands.EventHub.Commands.ConsumerGroup.NewEventHubConsumerGroup","New-AzureRmEventHubConsumerGroup","1","8420","Parameter set '__AllParameterSets' of cmdlet 'New-AzureRmEventHubConsumerGroup' contains at least one parameter with a position larger than four, which is discouraged.","Limit the number of positional parameters in a single parameter set to four or fewer."
