"AssemblyFileName","ClassName","Target","Severity","ProblemId","Description","Remediation"
"C:\azure-powershell\src\Package\Debug\ResourceManager\AzureResourceManager\AzureRM.Insights\Microsoft.Azure.Commands.Insights.dll","Microsoft.Azure.Commands.Insights.Metrics.GetAzureRmMetricCommand","Get-AzureRmMetric","1","8510","Cmdlet 'Get-AzureRmMetric' has multiple parameter sets, but no defined default parameter set.","Define a default parameter set in the cmdlet attribute."
"C:\azure-powershell\src\Package\Debug\ResourceManager\AzureResourceManager\AzureRM.Insights\Microsoft.Azure.Commands.Insights.dll","Microsoft.Azure.Commands.Insights.Events.GetAzureRmLogCommand","Get-AzureRmLog","1","8510","Cmdlet 'Get-AzureRmLog' has multiple parameter sets, but no defined default parameter set.","Define a default parameter set in the cmdlet attribute."
"C:\azure-powershell\src\Package\Debug\ResourceManager\AzureResourceManager\AzureRM.Insights\Microsoft.Azure.Commands.Insights.dll","Microsoft.Azure.Commands.Insights.Diagnostics.SetAzureRmDiagnosticSettingCommand","Set-AzureRmDiagnosticSetting","1","8410","Parameter Categories of cmdlet Set-AzureRmDiagnosticSetting does not follow the enforced naming convention of using a singular noun for a parameter name.","Consider using a singular noun for the parameter name."
"C:\azure-powershell\src\Package\Debug\ResourceManager\AzureResourceManager\AzureRM.Insights\Microsoft.Azure.Commands.Insights.dll","Microsoft.Azure.Commands.Insights.Diagnostics.SetAzureRmDiagnosticSettingCommand","Set-AzureRmDiagnosticSetting","1","8410","Parameter Timegrains of cmdlet Set-AzureRmDiagnosticSetting does not follow the enforced naming convention of using a singular noun for a parameter name.","Consider using a singular noun for the parameter name."
"C:\azure-powershell\src\Package\Debug\ResourceManager\AzureResourceManager\AzureRM.Insights\Microsoft.Azure.Commands.Insights.dll","Microsoft.Azure.Commands.Insights.Autoscale.NewAzureRmAutoscaleNotificationCommand","New-AzureRmAutoscaleNotification","1","8100","New-AzureRmAutoscaleNotification Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"C:\azure-powershell\src\Package\Debug\ResourceManager\AzureResourceManager\AzureRM.Insights\Microsoft.Azure.Commands.Insights.dll","Microsoft.Azure.Commands.Insights.Autoscale.NewAzureRmAutoscaleProfileCommand","New-AzureRmAutoscaleProfile","1","8100","New-AzureRmAutoscaleProfile Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"C:\azure-powershell\src\Package\Debug\ResourceManager\AzureResourceManager\AzureRM.Insights\Microsoft.Azure.Commands.Insights.dll","Microsoft.Azure.Commands.Insights.Autoscale.NewAzureRmAutoscaleProfileCommand","New-AzureRmAutoscaleProfile","1","8510","Cmdlet 'New-AzureRmAutoscaleProfile' has multiple parameter sets, but no defined default parameter set.","Define a default parameter set in the cmdlet attribute."
"C:\azure-powershell\src\Package\Debug\ResourceManager\AzureResourceManager\AzureRM.Insights\Microsoft.Azure.Commands.Insights.dll","Microsoft.Azure.Commands.Insights.Autoscale.NewAzureRmAutoscaleRuleCommand","New-AzureRmAutoscaleRule","1","8100","New-AzureRmAutoscaleRule Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"C:\azure-powershell\src\Package\Debug\ResourceManager\AzureResourceManager\AzureRM.Insights\Microsoft.Azure.Commands.Insights.dll","Microsoft.Azure.Commands.Insights.Autoscale.AddAzureRmAutoscaleSettingCommand","Add-AzureRmAutoscaleSetting","1","8510","Cmdlet 'Add-AzureRmAutoscaleSetting' has multiple parameter sets, but no defined default parameter set.","Define a default parameter set in the cmdlet attribute."
"C:\azure-powershell\src\Package\Debug\ResourceManager\AzureResourceManager\AzureRM.Insights\Microsoft.Azure.Commands.Insights.dll","Microsoft.Azure.Commands.Insights.Autoscale.NewAzureRmAutoscaleWebhookCommand","New-AzureRmAutoscaleWebhook","1","8100","New-AzureRmAutoscaleWebhook Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
