"AssemblyFileName","ClassName","Target","Severity","ProblemId","Description","Remediation"
"c:\workspace\powershell\src\Package\Debug\ResourceManager\AzureResourceManager\AzureRM.Network\Microsoft.Azure.Commands.Network.dll","Microsoft.Azure.Commands.Network.GetAzureRMExpressRouteCrossConnectionArpTableCommand","Get-AzureRMExpressRouteCrossConnectionArpTable","1","8510","Cmdlet 'Get-AzureRMExpressRouteCrossConnectionArpTable' has multiple parameter sets, but no defined default parameter set.","Define a default parameter set in the cmdlet attribute."
"c:\workspace\powershell\src\Package\Debug\ResourceManager\AzureResourceManager\AzureRM.Network\Microsoft.Azure.Commands.Network.dll","Microsoft.Azure.Commands.Network.GetAzureRMExpressRouteCrossConnectionRouteTableCommand","Get-AzureRMExpressRouteCrossConnectionRouteTable","1","8510","Cmdlet 'Get-AzureRMExpressRouteCrossConnectionRouteTable' has multiple parameter sets, but no defined default parameter set.","Define a default parameter set in the cmdlet attribute."
"c:\workspace\powershell\src\Package\Debug\ResourceManager\AzureResourceManager\AzureRM.Network\Microsoft.Azure.Commands.Network.dll","Microsoft.Azure.Commands.Network.GetAzureRMExpressRouteCrossConnectionRouteTableSummaryCommand","Get-AzureRMExpressRouteCrossConnectionRouteTableSummary","1","8510","Cmdlet 'Get-AzureRMExpressRouteCrossConnectionRouteTableSummary' has multiple parameter sets, but no defined default parameter set.","Define a default parameter set in the cmdlet attribute."
"c:\workspace\powershell\src\Package\Debug\ResourceManager\AzureResourceManager\AzureRM.Network\Microsoft.Azure.Commands.Network.dll","Microsoft.Azure.Commands.Network.GetAzureRmExpressRouteCrossConnection","Get-AzureRmExpressRouteCrossConnection","1","8510","Cmdlet 'Get-AzureRmExpressRouteCrossConnection' has multiple parameter sets, but no defined default parameter set.","Define a default parameter set in the cmdlet attribute."
"c:\workspace\powershell\src\Package\Debug\ResourceManager\AzureResourceManager\AzureRM.Network\Microsoft.Azure.Commands.Network.dll","Microsoft.Azure.Commands.Network.SetAzureRMExpressRouteCrossConnectionCommand","Set-AzureRmExpressRouteCrossConnection","1","8410","Parameter ServiceProviderNotes of cmdlet Set-AzureRmExpressRouteCrossConnection does not follow the enforced naming convention of using a singular noun for a parameter name.","Consider using a singular noun for the parameter name."
"c:\workspace\powershell\src\Package\Debug\ResourceManager\AzureResourceManager\AzureRM.Network\Microsoft.Azure.Commands.Network.dll","Microsoft.Azure.Commands.Network.SetAzureRMExpressRouteCrossConnectionCommand","Set-AzureRmExpressRouteCrossConnection","1","8410","Parameter Peerings of cmdlet Set-AzureRmExpressRouteCrossConnection does not follow the enforced naming convention of using a singular noun for a parameter name.","Consider using a singular noun for the parameter name."
"c:\workspace\powershell\src\Package\Debug\ResourceManager\AzureResourceManager\AzureRM.Network\Microsoft.Azure.Commands.Network.dll","Microsoft.Azure.Commands.Network.SetAzureRMExpressRouteCrossConnectionCommand","Set-AzureRmExpressRouteCrossConnection","1","8510","Cmdlet 'Set-AzureRmExpressRouteCrossConnection' has multiple parameter sets, but no defined default parameter set.","Define a default parameter set in the cmdlet attribute."
"c:\workspace\powershell\src\Package\Debug\ResourceManager\AzureResourceManager\AzureRM.Network\Microsoft.Azure.Commands.Network.dll","Microsoft.Azure.Commands.Network.GetAzureRMExpressRouteCrossConnectionArpTableCommand","Get-AzureRMExpressRouteCrossConnectionArpTable","1","8510","Cmdlet 'Get-AzureRMExpressRouteCrossConnectionArpTable' has multiple parameter sets, but no defined default parameter set.","Define a default parameter set in the cmdlet attribute."
"c:\workspace\powershell\src\Package\Debug\ResourceManager\AzureResourceManager\AzureRM.Network\Microsoft.Azure.Commands.Network.dll","Microsoft.Azure.Commands.Network.GetAzureRMExpressRouteCrossConnectionRouteTableCommand","Get-AzureRMExpressRouteCrossConnectionRouteTable","1","8510","Cmdlet 'Get-AzureRMExpressRouteCrossConnectionRouteTable' has multiple parameter sets, but no defined default parameter set.","Define a default parameter set in the cmdlet attribute."
"c:\workspace\powershell\src\Package\Debug\ResourceManager\AzureResourceManager\AzureRM.Network\Microsoft.Azure.Commands.Network.dll","Microsoft.Azure.Commands.Network.GetAzureRMExpressRouteCrossConnectionRouteTableSummaryCommand","Get-AzureRMExpressRouteCrossConnectionRouteTableSummary","1","8510","Cmdlet 'Get-AzureRMExpressRouteCrossConnectionRouteTableSummary' has multiple parameter sets, but no defined default parameter set.","Define a default parameter set in the cmdlet attribute."
"c:\workspace\powershell\src\Package\Debug\ResourceManager\AzureResourceManager\AzureRM.Network\Microsoft.Azure.Commands.Network.dll","Microsoft.Azure.Commands.Network.GetAzureRmExpressRouteCrossConnection","Get-AzureRmExpressRouteCrossConnection","1","8510","Cmdlet 'Get-AzureRmExpressRouteCrossConnection' has multiple parameter sets, but no defined default parameter set.","Define a default parameter set in the cmdlet attribute."
"c:\workspace\powershell\src\Package\Debug\ResourceManager\AzureResourceManager\AzureRM.Network\Microsoft.Azure.Commands.Network.dll","Microsoft.Azure.Commands.Network.SetAzureRMExpressRouteCrossConnectionCommand","Set-AzureRmExpressRouteCrossConnection","1","8410","Parameter ServiceProviderNotes of cmdlet Set-AzureRmExpressRouteCrossConnection does not follow the enforced naming convention of using a singular noun for a parameter name.","Consider using a singular noun for the parameter name."
"c:\workspace\powershell\src\Package\Debug\ResourceManager\AzureResourceManager\AzureRM.Network\Microsoft.Azure.Commands.Network.dll","Microsoft.Azure.Commands.Network.SetAzureRMExpressRouteCrossConnectionCommand","Set-AzureRmExpressRouteCrossConnection","1","8410","Parameter Peerings of cmdlet Set-AzureRmExpressRouteCrossConnection does not follow the enforced naming convention of using a singular noun for a parameter name.","Consider using a singular noun for the parameter name."
"c:\workspace\powershell\src\Package\Debug\ResourceManager\AzureResourceManager\AzureRM.Network\Microsoft.Azure.Commands.Network.dll","Microsoft.Azure.Commands.Network.SetAzureRMExpressRouteCrossConnectionCommand","Set-AzureRmExpressRouteCrossConnection","1","8510","Cmdlet 'Set-AzureRmExpressRouteCrossConnection' has multiple parameter sets, but no defined default parameter set.","Define a default parameter set in the cmdlet attribute."
